#header_line 1: mpirun --map-by core -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpc
#header_line 3: Latency=0.2246 Bandwidth=6367.9947
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,0.222,0.000,0.225,0.000
1.000,1000,0.222,4.460,0.225,4.449
2.000,1000,0.229,8.700,0.225,8.892
4.000,1000,0.225,17.770,0.225,17.760
8.000,1000,0.225,35.430,0.226,35.421
16.000,1000,0.225,70.960,0.227,70.450
32.000,1000,0.274,116.870,0.230,139.358
64.000,1000,0.272,235.650,0.235,272.746
128.000,1000,0.364,351.680,0.245,523.088
256.000,1000,0.389,658.040,0.265,966.764
512.000,1000,0.470,1089.680,0.305,1678.677
1024.000,1000,0.581,1766.190,0.385,2656.951
2048.000,1000,0.791,2590.210,0.546,3749.485
4096.000,1000,1.167,3508.650,0.868,4719.891
8192.000,1000,1.944,4212.200,1.511,5421.456
16384.000,1000,3.024,5418.650,2.797,5856.728
32768.000,1000,4.822,6793.850,5.370,6101.670
65536.000,640,8.181,8010.030,10.516,6231.988
131072.000,320,14.751,8885.840,20.808,6299.258
262144.000,160,13.982,18749.900,41.390,6333.440
524288.000,80,25.267,20754.390,82.556,6350.670
1048576.000,40,59.414,17653.750,164.888,6359.321
2097152.000,20,158.152,13260.850,329.552,6363.655
4194304.000,10,329.867,12717.050,658.878,6365.824
8388608.000,5,938.630,8939.420,1317.532,6366.909
16777216.000,2,2459.860,6820.520,2634.840,6367.452
33554432.000,1,5306.721,6323.550,5269.455,6367.723
67108864.000,1,10666.278,6292.370,10538.686,6367.859
134217728.000,1,21106.787,6359.060,21077.147,6367.927
268435456.000,1,42132.503,6371.500,42154.069,6367.961
