#header_line 1: mpirun --map-by core --mca pml ob1 --mca btl self,tcp -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpc
#header_line 3: Latency=4.9830 Bandwidth=5108.0199
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,4.910,0.000,4.983,0.000
1.000,1000,4.996,0.200,4.983,0.201
2.000,1000,4.987,0.400,4.983,0.401
4.000,1000,5.028,0.770,4.984,0.803
8.000,1000,4.994,1.570,4.985,1.605
16.000,1000,5.002,3.170,4.986,3.209
32.000,1000,4.994,6.370,4.989,6.414
64.000,1000,4.998,12.760,4.996,12.811
128.000,1000,5.063,25.240,5.008,25.559
256.000,1000,5.095,50.170,5.033,50.863
512.000,1000,5.192,98.680,5.083,100.723
1024.000,1000,5.821,176.090,5.183,197.551
2048.000,1000,5.540,369.690,5.384,380.391
4096.000,1000,6.416,638.430,5.785,708.053
8192.000,1000,6.900,1187.030,6.587,1243.708
16384.000,1000,9.008,1818.880,8.191,2000.365
32768.000,1000,14.582,2247.650,11.398,2874.888
65536.000,640,30.053,2181.040,17.813,3679.107
131072.000,320,44.051,2975.570,30.643,4277.382
262144.000,160,61.882,4236.340,56.303,4655.944
524288.000,80,97.800,5360.980,107.623,4871.516
1048576.000,40,164.434,6377.060,210.263,4986.966
2097152.000,20,321.243,6528.300,415.544,5046.767
4194304.000,10,663.849,6318.190,826.104,5077.209
8388608.000,5,1558.103,5383.930,1647.226,5092.568
16777216.000,2,3305.451,5075.710,3289.468,5100.282
33554432.000,1,6642.539,5051.440,6573.953,5104.148
67108864.000,1,13288.488,5050.250,13142.924,5106.083
134217728.000,1,26370.478,5089.670,26280.865,5107.051
268435456.000,1,52472.217,5115.900,52556.747,5107.536
