#header_line 1: mpirun --map-by core --mca pml ob1 --mca btl self,vader -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpc
#header_line 3: Latency=0.3112 Bandwidth=4188.9018
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,0.292,0.000,0.311,0.000
1.000,1000,0.316,3.120,0.311,3.211
2.000,1000,0.316,6.300,0.312,6.417
4.000,1000,0.316,12.590,0.312,12.814
8.000,1000,0.316,25.280,0.313,25.550
16.000,1000,0.323,49.380,0.315,50.790
32.000,1000,0.324,98.630,0.319,100.364
64.000,1000,0.350,183.320,0.326,196.031
128.000,1000,0.395,323.100,0.342,374.535
256.000,1000,0.464,551.060,0.372,687.592
512.000,1000,0.706,724.730,0.433,1181.281
1024.000,1000,0.796,1286.100,0.556,1842.869
2048.000,1000,0.920,2228.420,0.800,2559.645
4096.000,1000,1.841,2226.730,1.289,3177.603
8192.000,1000,2.162,3792.500,2.267,3613.835
16384.000,1000,2.715,6038.140,4.222,3880.177
32768.000,1000,3.700,8854.420,8.134,4028.634
65536.000,640,5.703,11490.060,15.956,4107.205
131072.000,320,9.473,13837.570,31.602,4147.651
262144.000,160,17.126,15309.330,62.892,4168.174
524288.000,80,37.391,14025.800,125.472,4178.512
1048576.000,40,99.293,10562.590,250.634,4183.701
2097152.000,20,237.194,8848.150,500.956,4186.300
4194304.000,10,562.368,7465.920,1001.601,4187.600
8388608.000,5,1716.239,4900.180,2002.890,4188.251
16777216.000,2,3946.658,4252.420,4005.470,4188.576
33554432.000,1,8276.151,4057.110,8010.628,4188.739
67108864.000,1,16433.399,4085.520,16020.945,4188.820
134217728.000,1,32390.210,4144.940,32041.580,4188.861
268435456.000,1,63794.608,4208.910,64082.848,4188.881
