#header_line 1: mpirun --map-by node -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpcct1pt-tnode010.hpc
#header_line 3: Latency=1.3828 Bandwidth=12164.9556
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,1.390,0.000,1.383,0.000
1.000,1000,1.381,0.700,1.383,0.723
2.000,1000,1.381,1.400,1.383,1.446
4.000,1000,1.381,2.860,1.383,2.892
8.000,1000,1.381,5.720,1.383,5.783
16.000,1000,1.384,11.500,1.384,11.560
32.000,1000,1.415,22.580,1.385,23.098
64.000,1000,1.724,37.080,1.388,46.107
128.000,1000,1.748,73.190,1.393,91.867
256.000,1000,2.163,121.570,1.404,182.356
512.000,1000,2.093,244.580,1.425,359.326
1024.000,1000,2.320,441.530,1.467,698.034
2048.000,1000,3.002,682.240,1.551,1320.309
4096.000,1000,3.951,1036.880,1.720,2382.081
8192.000,1000,5.535,1480.370,2.056,3984.029
16384.000,1000,7.344,2230.880,2.730,6002.302
32768.000,1000,10.129,3235.280,4.076,8038.388
65536.000,640,14.500,4519.890,6.770,9680.243
131072.000,320,23.544,5567.030,12.157,10781.291
262144.000,160,33.500,7825.360,22.932,11431.406
524288.000,80,56.228,9325.640,44.481,11786.779
1048576.000,40,98.864,10606.140,87.579,11972.882
2097152.000,20,185.405,11311.370,173.776,12068.154
4194304.000,10,355.074,11812.440,346.169,12116.362
8388608.000,5,698.219,12014.260,690.954,12140.610
16777216.000,2,1384.825,12115.000,1380.526,12152.771
33554432.000,1,2760.385,12155.670,2759.669,12158.860
67108864.000,1,5509.769,12179.960,5517.956,12161.907
134217728.000,1,11030.858,12167.450,11034.529,12163.431
268435456.000,1,22070.655,12162.510,22067.674,12164.193
