#header_line 1: mpirun -f $PBS_NODEFILE ${EXE} PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g' 
#header_line 2: ct1pt-tnode007.hpcct1pt-tnode010.hpc
#header_line 3: Latency=1.3324 Bandwidth=12193.0069
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,1.330,0.000,1.332,0.000
1.000,1000,1.329,0.700,1.332,0.750
2.000,1000,1.336,1.440,1.333,1.501
4.000,1000,1.337,2.960,1.333,3.001
8.000,1000,1.330,5.970,1.333,6.001
16.000,1000,1.329,12.000,1.334,11.997
32.000,1000,1.349,23.730,1.335,23.970
64.000,1000,1.534,41.860,1.338,47.845
128.000,1000,1.586,81.080,1.343,95.316
256.000,1000,1.991,133.750,1.353,189.154
512.000,1000,2.072,257.200,1.374,372.529
1024.000,1000,2.250,468.670,1.416,722.969
2048.000,1000,2.755,746.250,1.500,1365.001
4096.000,1000,3.527,1167.030,1.668,2455.149
8192.000,1000,4.491,1832.110,2.004,4087.293
16384.000,1000,6.232,2636.690,2.676,6122.294
32768.000,1000,10.421,3145.510,4.020,8151.564
65536.000,640,13.367,4905.290,6.707,9770.870
131072.000,320,22.623,5794.530,12.082,10848.384
262144.000,160,33.307,7871.260,22.832,11481.461
524288.000,80,56.599,9265.830,44.331,11826.541
1048576.000,40,98.392,10657.250,87.331,12006.979
2097152.000,20,184.987,11336.880,173.329,12099.278
4194304.000,10,354.824,11820.950,345.325,12145.962
8388608.000,5,697.571,12025.450,689.318,12169.439
16777216.000,2,1383.722,12124.700,1377.303,12181.211
33554432.000,1,2764.560,12137.350,2753.273,12187.106
67108864.000,1,5510.479,12178.380,5505.214,12190.056
134217728.000,1,11007.675,12193.130,11009.095,12191.531
268435456.000,1,22013.857,12193.900,22016.858,12192.269
