#header_line 1: mpirun --map-by node --mca pml ob1 --mca btl self,tcp -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpcct1pt-tnode010.hpc
#header_line 3: Latency=15.6166 Bandwidth=2208.2712
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,15.575,0.000,15.617,0.000
1.000,1000,15.641,0.000,15.617,0.064
2.000,1000,15.618,0.100,15.618,0.128
4.000,1000,15.625,0.200,15.618,0.256
8.000,1000,15.624,0.500,15.620,0.512
16.000,1000,15.670,1.000,15.624,1.024
32.000,1000,15.669,2.000,15.631,2.047
64.000,1000,15.779,4.000,15.646,4.091
128.000,1000,16.255,7.830,15.675,8.166
256.000,1000,16.211,15.760,15.733,16.272
512.000,1000,16.452,31.090,15.848,32.306
1024.000,1000,16.914,60.520,16.080,63.680
2048.000,1000,38.612,53.000,16.544,123.791
4096.000,1000,38.977,105.040,17.471,234.440
8192.000,1000,39.910,205.220,19.326,423.879
16384.000,1000,41.739,392.530,23.036,711.235
32768.000,1000,48.361,678.140,30.455,1075.936
65536.000,640,80.959,809.470,45.294,1446.899
131072.000,320,135.874,965.590,74.972,1748.288
262144.000,160,204.972,1279.320,134.327,1951.541
524288.000,80,321.215,1633.260,253.037,2071.984
1048576.000,40,529.949,1979.800,490.457,2137.958
2097152.000,20,957.056,2193.370,965.297,2172.546
4194304.000,10,1971.413,2131.610,1914.977,2190.263
8388608.000,5,4001.626,2098.970,3814.338,2199.230
16777216.000,2,7977.985,2105.230,7613.060,2203.741
33554432.000,1,15773.178,2130.370,15210.504,2206.004
67108864.000,1,31035.546,2165.000,30405.391,2207.137
134217728.000,1,61190.658,2195.830,60795.165,2207.704
268435456.000,1,121119.216,2219.860,121574.713,2207.988
