#header_line 1: mpirun --map-by node --mca pml ucx -mca btl ^uct -x UCX_NET_DEVICES=ib0 -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpcct1pt-tnode010.hpc
#header_line 3: Latency=13.9080 Bandwidth=2356.4916
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,15.408,0.000,13.908,0.000
1.000,1000,13.585,0.000,13.908,0.072
2.000,1000,13.555,0.090,13.909,0.144
4.000,1000,13.599,0.280,13.910,0.288
8.000,1000,13.393,0.570,13.911,0.575
16.000,1000,12.453,1.230,13.915,1.150
32.000,1000,12.448,2.510,13.922,2.299
64.000,1000,12.510,5.080,13.935,4.593
128.000,1000,12.676,10.060,13.962,9.168
256.000,1000,12.793,19.970,14.017,18.264
512.000,1000,12.830,39.880,14.125,36.247
1024.000,1000,13.122,78.030,14.343,71.396
2048.000,1000,22.120,92.720,14.777,138.593
4096.000,1000,25.762,159.440,15.646,261.789
8192.000,1000,37.657,218.180,17.384,471.228
16384.000,1000,43.473,379.580,20.861,785.400
32768.000,1000,73.030,451.090,27.813,1178.136
65536.000,640,108.823,611.320,41.719,1570.897
131072.000,320,158.774,828.920,69.530,1885.123
262144.000,160,218.884,1198.560,125.151,2094.616
524288.000,80,329.491,1592.170,236.395,2217.850
1048576.000,40,522.202,2008.660,458.881,2285.070
2097152.000,20,932.123,2251.560,903.855,2320.231
4194304.000,10,1763.154,2379.630,1793.801,2338.221
8388608.000,5,3621.083,2322.010,3573.695,2347.321
16777216.000,2,7362.649,2284.270,7133.482,2351.897
33554432.000,1,14645.651,2294.490,14253.056,2354.192
67108864.000,1,29086.531,2309.720,28492.203,2355.341
134217728.000,1,56523.255,2377.810,56970.498,2355.916
268435456.000,1,113936.919,2358.590,113927.088,2356.204
