#header_line 1: mpirun --map-by socket -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpc
#header_line 3: Latency=0.4338 Bandwidth=5579.5551
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,0.432,0.000,0.434,0.000
1.000,1000,0.442,2.220,0.434,2.304
2.000,1000,0.432,4.590,0.434,4.607
4.000,1000,0.431,9.190,0.435,9.206
8.000,1000,0.432,18.470,0.435,18.381
16.000,1000,0.431,36.950,0.437,36.641
32.000,1000,0.583,54.890,0.440,72.804
64.000,1000,0.610,104.880,0.445,143.733
128.000,1000,1.085,118.030,0.457,280.246
256.000,1000,1.117,229.210,0.480,533.687
512.000,1000,1.210,423.270,0.526,974.192
1024.000,1000,1.503,683.420,0.617,1658.764
2048.000,1000,2.119,965.650,0.801,2557.269
4096.000,1000,3.009,1360.620,1.168,3507.123
8192.000,1000,4.718,1736.120,1.902,4307.006
16384.000,1000,7.251,2260.200,3.370,4861.382
32768.000,1000,12.908,2538.910,6.307,5195.769
65536.000,640,24.126,2716.400,12.180,5380.827
131072.000,320,45.185,2902.290,23.925,5478.390
262144.000,160,14.687,17848.680,47.417,5528.510
524288.000,80,26.287,19956.440,94.400,5553.915
1048576.000,40,60.337,17384.330,188.366,5566.706
2097152.000,20,157.170,13345.330,376.297,5573.123
4194304.000,10,326.746,12839.450,752.161,5576.337
8388608.000,5,718.324,11685.380,1503.888,5577.946
16777216.000,2,2232.294,7517.690,3007.343,5578.750
33554432.000,1,6001.689,5602.820,6014.252,5579.153
67108864.000,1,12188.243,5506.520,12028.071,5579.354
134217728.000,1,24311.118,5521.010,24055.708,5579.454
268435456.000,1,48026.804,5589.610,48110.982,5579.505
