#header_line 1: mpirun --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpc
#header_line 3: Latency=8.7590 Bandwidth=3145.2215
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,8.664,0.000,8.759,0.000
1.000,1000,8.786,0.100,8.759,0.114
2.000,1000,8.781,0.200,8.760,0.228
4.000,1000,8.784,0.400,8.760,0.457
8.000,1000,8.780,0.880,8.762,0.913
16.000,1000,8.776,1.780,8.764,1.826
32.000,1000,8.833,3.580,8.769,3.649
64.000,1000,8.774,7.260,8.779,7.290
128.000,1000,9.105,14.020,8.800,14.546
256.000,1000,9.186,27.830,8.840,28.958
512.000,1000,9.184,55.710,8.922,57.388
1024.000,1000,10.405,98.360,9.085,112.719
2048.000,1000,9.708,210.920,9.410,217.637
4096.000,1000,11.650,351.560,10.061,407.105
8192.000,1000,12.369,662.430,11.364,720.899
16384.000,1000,17.053,960.750,13.968,1172.952
32768.000,1000,26.997,1213.780,19.177,1708.683
65536.000,640,62.686,1045.430,29.596,2214.377
131072.000,320,92.529,1416.720,50.432,2598.965
262144.000,160,136.518,1920.520,92.106,2846.120
524288.000,80,208.230,2517.790,175.453,2988.205
1048576.000,40,358.563,2924.370,342.146,3064.703
2097152.000,20,675.052,3106.730,675.533,3104.440
4194304.000,10,1343.999,3121.530,1342.307,3124.698
8388608.000,5,2631.095,3188.350,2675.855,3134.926
16777216.000,2,5339.001,3142.440,5342.951,3140.065
33554432.000,1,10841.395,3095.800,10677.143,3142.641
67108864.000,1,21419.396,3133.260,21345.528,3143.931
134217728.000,1,42752.341,3139.620,42682.296,3144.576
268435456.000,1,85283.234,3147.820,85355.833,3144.899
