#header_line 1: mpirun --map-by socket --mca pml ob1 --mca btl self,vader -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpc
#header_line 3: Latency=0.6186 Bandwidth=3586.1194
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,0.599,0.000,0.619,0.000
1.000,1000,0.623,1.570,0.619,1.616
2.000,1000,0.624,3.170,0.619,3.230
4.000,1000,0.624,6.360,0.620,6.455
8.000,1000,0.623,12.780,0.621,12.886
16.000,1000,0.714,22.370,0.623,25.680
32.000,1000,0.726,44.000,0.628,50.994
64.000,1000,0.833,76.880,0.636,100.558
128.000,1000,1.038,123.320,0.654,195.631
256.000,1000,1.130,226.720,0.690,371.022
512.000,1000,1.369,373.650,0.761,672.470
1024.000,1000,1.606,638.680,0.904,1132.561
2048.000,1000,1.842,1113.470,1.190,1721.456
4096.000,1000,3.052,1345.290,1.761,2326.240
8192.000,1000,3.602,2277.950,2.903,2821.944
16384.000,1000,4.003,4095.040,5.187,3158.467
32768.000,1000,5.145,6372.860,9.756,3358.735
65536.000,640,6.909,9488.090,18.894,3468.705
131072.000,320,10.651,12312.450,37.168,3526.435
262144.000,160,18.408,14242.570,73.718,3556.027
524288.000,80,38.079,13770.570,146.818,3571.010
1048576.000,40,99.184,10572.620,293.017,3578.549
2097152.000,20,233.996,8967.010,585.416,3582.330
4194304.000,10,477.738,8782.630,1170.213,3584.224
8388608.000,5,1196.174,7015.600,2339.807,3585.171
16777216.000,2,4014.670,4204.320,4678.995,3585.645
33554432.000,1,9574.440,3506.030,9357.371,3585.882
67108864.000,1,19082.241,3517.360,18714.124,3586.001
134217728.000,1,38057.880,3527.010,37427.629,3586.060
268435456.000,1,74512.214,3602.880,74854.638,3586.090
