#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.61
2,1000,0.23,8.63
4,1000,0.23,17.03
8,1000,0.22,36.01
16,1000,0.22,71.24
32,1000,0.27,117.41
64,1000,0.27,234.51
128,1000,0.36,351.20
256,1000,0.38,666.34
512,1000,0.46,1104.71
1024,1000,0.57,1800.70
2048,1000,0.79,2591.19
4096,1000,1.17,3512.25
8192,1000,1.95,4202.31
16384,1000,3.04,5385.53
32768,1000,4.85,6754.81
65536,640,8.20,7995.00
131072,320,14.97,8758.51
262144,160,13.95,18797.80
524288,80,26.10,20086.79
1048576,40,59.31,17679.25
2097152,20,157.04,13354.58
4194304,10,332.93,12598.31
8388608,5,943.78,8888.29
16777216,2,2477.30,6772.38
33554432,1,5348.33,6273.82
67108864,1,10455.78,6418.35
134217728,1,20941.46,6409.19
268435456,1,42521.87,6312.88
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.25,4.05
2,1000,0.23,8.76
4,1000,0.23,17.67
8,1000,0.22,36.01
16,1000,0.23,70.35
32,1000,0.28,116.08
64,1000,0.27,239.39
128,1000,0.37,350.66
256,1000,0.40,639.32
512,1000,0.48,1074.66
1024,1000,0.59,1743.80
2048,1000,0.79,2581.52
4096,1000,1.17,3490.18
8192,1000,1.95,4204.36
16384,1000,3.03,5413.41
32768,1000,4.84,6765.58
65536,640,8.22,7974.19
131072,320,14.75,8885.12
262144,160,14.01,18704.93
524288,80,25.86,20276.48
1048576,40,58.36,17968.35
2097152,20,158.33,13245.50
4194304,10,329.01,12748.36
8388608,5,977.02,8585.94
16777216,2,2469.67,6793.30
33554432,1,5361.10,6258.87
67108864,1,10615.79,6321.61
134217728,1,21038.70,6379.57
268435456,1,41672.38,6441.57
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.22,4.53
2,1000,0.23,8.60
4,1000,0.24,16.64
8,1000,0.22,35.75
16,1000,0.22,71.20
32,1000,0.27,116.88
64,1000,0.27,238.86
128,1000,0.37,350.57
256,1000,0.38,667.88
512,1000,0.47,1097.21
1024,1000,0.58,1765.19
2048,1000,0.79,2596.19
4096,1000,1.16,3517.50
8192,1000,1.94,4218.72
16384,1000,3.02,5425.63
32768,1000,4.83,6781.36
65536,640,8.18,8009.80
131072,320,14.73,8895.54
262144,160,14.10,18592.72
524288,80,25.05,20927.68
1048576,40,59.67,17572.38
2097152,20,158.78,13208.23
4194304,10,324.29,12933.80
8388608,5,926.62,9052.94
16777216,2,2462.13,6814.10
33554432,1,5261.79,6377.00
67108864,1,10612.66,6323.47
134217728,1,21018.00,6385.85
268435456,1,41713.07,6435.28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.48
2,1000,0.22,9.01
4,1000,0.22,18.01
8,1000,0.25,32.16
16,1000,0.23,70.55
32,1000,0.27,118.65
64,1000,0.27,237.93
128,1000,0.36,355.44
256,1000,0.38,675.23
512,1000,0.47,1095.91
1024,1000,0.58,1761.49
2048,1000,0.79,2599.68
4096,1000,1.16,3521.71
8192,1000,1.95,4195.31
16384,1000,3.03,5410.74
32768,1000,4.81,6814.22
65536,640,8.17,8026.12
131072,320,14.73,8898.74
262144,160,13.89,18879.13
524288,80,25.15,20844.96
1048576,40,58.78,17838.39
2097152,20,159.02,13188.13
4194304,10,327.32,12814.26
8388608,5,935.40,8967.93
16777216,2,2464.48,6807.62
33554432,1,5426.48,6183.46
67108864,1,10582.82,6341.30
134217728,1,21033.18,6381.24
268435456,1,42112.97,6374.18
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.34
2,1000,0.23,8.62
4,1000,0.22,18.01
8,1000,0.23,34.12
16,1000,0.22,71.56
32,1000,0.28,115.33
64,1000,0.27,237.10
128,1000,0.37,349.03
256,1000,0.39,658.78
512,1000,0.47,1099.86
1024,1000,0.59,1749.27
2048,1000,0.79,2602.13
4096,1000,1.16,3523.23
8192,1000,1.94,4214.35
16384,1000,3.02,5427.55
32768,1000,4.80,6823.37
65536,640,8.15,8036.38
131072,320,14.70,8914.25
262144,160,13.94,18799.67
524288,80,24.80,21142.33
1048576,40,58.53,17914.85
2097152,20,158.82,13204.65
4194304,10,327.15,12820.61
8388608,5,916.26,9155.22
16777216,2,2436.53,6885.70
33554432,1,5274.19,6362.01
67108864,1,10920.13,6145.43
134217728,1,21092.68,6363.24
268435456,1,42021.31,6388.08
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.49
2,1000,0.25,8.04
4,1000,0.23,17.48
8,1000,0.23,35.33
16,1000,0.23,70.88
32,1000,0.28,115.01
64,1000,0.28,232.45
128,1000,0.36,351.20
256,1000,0.39,661.44
512,1000,0.46,1101.26
1024,1000,0.58,1760.73
2048,1000,0.79,2593.82
4096,1000,1.17,3508.35
8192,1000,1.94,4213.12
16384,1000,3.01,5445.04
32768,1000,4.81,6817.03
65536,640,8.15,8040.57
131072,320,14.72,8902.62
262144,160,13.88,18886.86
524288,80,25.02,20951.68
1048576,40,58.68,17868.83
2097152,20,158.15,13260.28
4194304,10,335.03,12519.06
8388608,5,931.96,9001.01
16777216,2,2462.69,6812.56
33554432,1,5275.64,6360.26
67108864,1,10640.65,6306.84
134217728,1,21140.93,6348.71
268435456,1,42054.56,6383.03
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.21,4.65
2,1000,0.22,9.26
4,1000,0.22,18.59
8,1000,0.22,36.87
16,1000,0.22,71.63
32,1000,0.28,115.47
64,1000,0.28,227.31
