#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.27,3.69
2,1000,0.27,7.44
4,1000,0.27,14.88
8,1000,0.27,29.69
16,1000,0.27,59.02
32,1000,0.28,112.59
64,1000,0.28,226.20
128,1000,0.29,441.70
256,1000,0.31,827.17
512,1000,0.53,960.85
1024,1000,0.59,1748.88
2048,1000,0.73,2805.94
4096,1000,0.94,4346.53
8192,1000,1.48,5533.44
16384,1000,2.40,6836.28
32768,1000,3.50,9350.18
65536,640,5.87,11165.45
131072,320,8.86,14798.35
262144,160,15.64,16766.31
524288,80,41.88,12517.73
1048576,40,84.94,12344.74
2097152,20,162.78,12883.03
4194304,10,398.18,10533.68
8388608,5,1038.91,8074.39
16777216,2,2131.77,7870.10
33554432,1,6045.22,5550.57
67108864,1,12465.69,5383.48
134217728,1,25788.35,5204.59
268435456,1,53197.99,5045.97
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.28,3.59
2,1000,0.27,7.28
4,1000,0.28,14.53
8,1000,0.28,29.07
16,1000,0.28,57.81
32,1000,0.29,111.02
64,1000,0.29,222.86
128,1000,0.29,440.65
256,1000,0.31,824.32
512,1000,0.53,967.89
1024,1000,0.60,1695.85
2048,1000,0.74,2774.65
4096,1000,0.95,4311.73
8192,1000,1.48,5541.36
16384,1000,2.38,6892.51
32768,1000,3.60,9101.38
65536,640,5.98,10956.04
131072,320,8.82,14855.70
262144,160,15.41,17014.34
524288,80,40.80,12848.90
1048576,40,84.13,12463.59
2097152,20,159.93,13113.34
4194304,10,403.62,10391.63
8388608,5,1038.19,8080.07
16777216,2,2138.95,7843.66
33554432,1,6038.67,5556.59
67108864,1,13044.23,5144.71
134217728,1,25769.16,5208.46
268435456,1,52736.91,5090.09
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.27,3.71
2,1000,0.27,7.37
4,1000,0.27,14.76
8,1000,0.27,29.75
16,1000,0.27,59.51
32,1000,0.28,113.86
64,1000,0.28,225.02
128,1000,0.29,439.50
256,1000,0.31,834.43
512,1000,0.53,957.61
1024,1000,0.60,1720.46
2048,1000,0.73,2800.39
4096,1000,0.95,4313.70
8192,1000,1.51,5433.27
16384,1000,2.37,6902.42
