#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.87,0.00
1,1000,4.95,0.20
2,1000,4.96,0.40
4,1000,5.28,0.76
8,1000,4.98,1.61
16,1000,4.98,3.21
32,1000,4.97,6.44
64,1000,4.98,12.84
128,1000,5.05,25.34
256,1000,5.08,50.39
512,1000,5.10,100.33
1024,1000,5.73,178.80
2048,1000,5.49,373.35
4096,1000,6.39,640.74
8192,1000,6.84,1197.55
16384,1000,9.03,1813.85
32768,1000,14.35,2283.33
65536,640,29.69,2207.04
131072,320,43.76,2995.37
262144,160,61.53,4260.20
524288,80,97.21,5393.31
1048576,40,164.31,6381.73
2097152,20,320.53,6542.82
4194304,10,666.60,6292.09
8388608,5,1557.08,5387.40
16777216,2,3300.00,5084.00
33554432,1,6634.86,5057.29
67108864,1,13276.88,5054.57
134217728,1,26367.17,5090.33
268435456,1,52171.21,5145.28
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.90,0.00
1,1000,4.99,0.20
2,1000,4.98,0.40
4,1000,4.99,0.80
8,1000,4.98,1.61
16,1000,5.00,3.20
32,1000,4.98,6.43
64,1000,4.99,12.83
128,1000,5.05,25.34
256,1000,5.05,50.65
512,1000,5.10,100.41
1024,1000,5.80,176.63
2048,1000,5.56,368.51
4096,1000,6.47,632.70
8192,1000,6.91,1184.88
16384,1000,9.07,1807.07
32768,1000,14.49,2260.69
65536,640,29.67,2209.05
131072,320,44.05,2975.64
262144,160,61.89,4235.97
524288,80,97.16,5396.20
1048576,40,164.52,6373.54
2097152,20,321.12,6530.71
4194304,10,662.72,6328.88
8388608,5,1566.38,5355.43
16777216,2,3308.02,5071.68
33554432,1,6626.15,5063.94
67108864,1,13248.80,5065.28
134217728,1,26319.40,5099.57
268435456,1,52227.21,5139.76
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.95,0.00
1,1000,5.03,0.20
2,1000,5.03,0.40
4,1000,5.02,0.80
8,1000,5.03,1.59
16,1000,5.02,3.19
32,1000,5.02,6.38
64,1000,5.02,12.74
128,1000,5.09,25.16
256,1000,5.13,49.92
512,1000,5.74,89.20
1024,1000,5.76,177.74
2048,1000,5.54,369.48
4096,1000,6.44,636.52
8192,1000,6.90,1187.92
16384,1000,9.00,1820.32
32768,1000,14.48,2262.41
65536,640,30.02,2183.22
131072,320,43.92,2984.64
262144,160,61.94,4232.52
524288,80,97.82,5359.78
1048576,40,163.31,6420.76
2097152,20,319.46,6564.61
4194304,10,658.70,6367.59
8388608,5,1549.51,5413.70
16777216,2,3281.13,5113.24
33554432,1,6620.15,5068.53
67108864,1,13249.36,5065.07
134217728,1,26335.73,5096.41
268435456,1,52827.73,5081.34
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.92,0.00
1,1000,5.06,0.20
2,1000,5.03,0.40
4,1000,5.04,0.79
8,1000,5.03,1.59
16,1000,5.04,3.18
32,1000,5.02,6.37
64,1000,5.01,12.77
128,1000,5.09,25.12
256,1000,5.12,49.98
512,1000,5.15,99.44
1024,1000,6.38,160.53
2048,1000,5.58,367.32
4096,1000,6.46,634.47
8192,1000,6.94,1180.40
16384,1000,9.04,1812.23
32768,1000,14.46,2265.94
65536,640,29.85,2195.28
131072,320,43.87,2987.42
262144,160,61.90,4234.84
524288,80,97.42,5381.63
1048576,40,164.54,6372.85
2097152,20,320.16,6550.27
4194304,10,660.68,6348.43
8388608,5,1554.46,5396.48
16777216,2,3285.37,5106.65
33554432,1,6619.87,5068.75
67108864,1,13275.32,5055.16
134217728,1,26342.09,5095.18
268435456,1,52899.33,5074.46
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.93,0.00
1,1000,4.94,0.20
2,1000,4.93,0.41
4,1000,4.95,0.81
8,1000,4.96,1.61
16,1000,4.96,3.23
32,1000,4.95,6.47
64,1000,4.96,12.89
128,1000,5.01,25.53
256,1000,5.07,50.49
512,1000,5.12,100.04
1024,1000,5.76,177.87
2048,1000,5.49,372.78
4096,1000,6.38,641.70
8192,1000,6.92,1183.26
16384,1000,9.00,1821.28
32768,1000,14.46,2266.51
65536,640,30.14,2174.43
131072,320,44.60,2939.14
262144,160,62.17,4216.53
524288,80,98.73,5310.17
1048576,40,165.30,6343.48
2097152,20,323.82,6476.32
4194304,10,664.28,6314.03
8388608,5,1557.09,5387.35
16777216,2,3316.72,5058.38
33554432,1,6670.37,5030.37
67108864,1,13349.19,5027.19
134217728,1,26381.06,5087.65
268435456,1,52949.44,5069.66
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.89,0.00
1,1000,4.98,0.20
2,1000,4.97,0.40
4,1000,5.00,0.80
8,1000,4.96,1.61
16,1000,4.97,3.22
32,1000,4.99,6.41
64,1000,5.00,12.81
128,1000,5.05,25.34
256,1000,5.09,50.33
512,1000,5.12,99.98
1024,1000,5.76,177.90
2048,1000,5.51,371.46
