#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.32,3.15
2,1000,0.32,6.33
4,1000,0.31,12.78
8,1000,0.32,25.21
16,1000,0.33,48.02
32,1000,0.32,99.40
64,1000,0.35,184.91
128,1000,0.39,324.71
256,1000,0.44,585.35
512,1000,0.72,710.70
1024,1000,0.80,1281.23
2048,1000,0.93,2193.55
4096,1000,1.81,2268.21
8192,1000,2.15,3818.81
16384,1000,2.71,6035.95
32768,1000,3.69,8879.66
65536,640,5.67,11567.55
131072,320,9.36,13997.15
262144,160,17.03,15391.24
524288,80,38.30,13690.58
1048576,40,99.37,10552.07
2097152,20,237.53,8828.86
4194304,10,564.50,7430.17
8388608,5,1948.45,4305.27
16777216,2,3903.15,4298.38
33554432,1,8131.13,4126.66
67108864,1,16167.32,4150.90
134217728,1,31918.32,4205.04
268435456,1,62774.68,4276.17
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.32,3.14
2,1000,0.32,6.21
4,1000,0.32,12.68
8,1000,0.32,25.15
16,1000,0.33,49.03
32,1000,0.32,98.81
64,1000,0.35,180.72
128,1000,0.40,323.95
256,1000,0.46,553.41
512,1000,0.70,730.62
1024,1000,0.81,1264.72
2048,1000,0.92,2218.32
4096,1000,1.89,2165.58
8192,1000,2.10,3904.85
16384,1000,2.79,5866.18
32768,1000,3.56,9204.98
65536,640,5.82,11262.05
131072,320,9.57,13697.46
262144,160,16.94,15474.80
524288,80,37.53,13968.26
1048576,40,97.62,10741.12
2097152,20,239.97,8739.22
4194304,10,550.36,7621.03
8388608,5,1674.73,5008.93
16777216,2,4011.52,4182.26
33554432,1,8163.28,4110.41
67108864,1,16267.67,4125.29
134217728,1,32091.75,4182.31
268435456,1,62899.49,4267.69
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.30,0.00
1,1000,0.32,3.16
2,1000,0.31,6.36
4,1000,0.32,12.55
8,1000,0.32,25.26
16,1000,0.32,49.48
32,1000,0.33,97.73
64,1000,0.35,184.01
128,1000,0.39,327.15
256,1000,0.46,551.41
512,1000,0.72,710.41
1024,1000,0.79,1301.44
2048,1000,0.92,2235.82
4096,1000,1.84,2229.00
8192,1000,2.13,3841.63
16384,1000,2.69,6101.79
32768,1000,3.65,8967.53
65536,640,5.75,11392.19
131072,320,9.45,13867.34
262144,160,16.90,15510.11
524288,80,36.90,14207.43
1048576,40,98.39,10657.03
2097152,20,243.14,8625.23
4194304,10,560.66,7481.02
8388608,5,1671.22,5019.44
16777216,2,3906.59,4294.60
33554432,1,8250.16,4067.12
67108864,1,16233.04,4134.09
134217728,1,31990.32,4195.57
268435456,1,62955.91,4263.86
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.30,0.00
1,1000,0.31,3.20
2,1000,0.31,6.48
4,1000,0.31,12.72
8,1000,0.31,25.60
16,1000,0.32,50.23
32,1000,0.32,99.57
64,1000,0.34,186.84
128,1000,0.39,326.21
256,1000,0.47,544.54
512,1000,0.71,721.35
1024,1000,0.81,1264.56
2048,1000,0.93,2198.92
4096,1000,1.87,2184.54
8192,1000,2.09,3916.26
16384,1000,2.71,6055.91
32768,1000,3.70,8846.23
65536,640,5.63,11633.86
131072,320,9.43,13905.25
262144,160,17.42,15052.04
524288,80,38.04,13781.74
1048576,40,102.62,10217.69
2097152,20,250.49,8372.10
4194304,10,607.18,6907.90
8388608,5,1806.37,4643.90
16777216,2,4118.62,4073.50
33554432,1,8849.62,3791.62
67108864,1,17149.67,3913.13
134217728,1,33560.08,3999.33
268435456,1,65927.50,4071.68
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.29,0.00
1,1000,0.31,3.18
2,1000,0.31,6.41
4,1000,0.31,12.71
8,1000,0.31,25.53
16,1000,0.32,50.22
32,1000,0.32,99.72
64,1000,0.35,185.50
