#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.39,0.00
1,1000,1.38,0.72
2,1000,1.38,1.45
4,1000,1.38,2.89
8,1000,1.38,5.78
16,1000,1.39,11.54
32,1000,1.42,22.60
64,1000,1.78,35.97
128,1000,1.75,73.34
256,1000,2.02,126.88
512,1000,2.09,244.91
1024,1000,2.31,443.43
2048,1000,3.00,683.47
4096,1000,3.94,1040.82
8192,1000,5.55,1476.90
16384,1000,7.34,2230.75
32768,1000,10.08,3249.67
65536,640,14.52,4515.04
131072,320,23.54,5568.82
262144,160,33.53,7818.56
524288,80,56.09,9347.98
1048576,40,98.85,10607.97
2097152,20,185.98,11276.46
4194304,10,355.09,11811.86
8388608,5,698.95,12001.74
16777216,2,1385.20,12111.73
33554432,1,2760.84,12153.71
67108864,1,5507.82,12184.28
134217728,1,11042.88,12154.24
268435456,1,22073.32,12161.08
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.39,0.00
1,1000,1.38,0.72
2,1000,1.38,1.45
4,1000,1.38,2.89
8,1000,1.38,5.78
16,1000,1.39,11.51
32,1000,1.41,22.62
64,1000,1.71,37.32
128,1000,1.75,72.98
256,1000,2.02,126.60
512,1000,2.10,243.45
1024,1000,2.33,439.97
2048,1000,2.99,685.84
4096,1000,4.02,1017.89
8192,1000,5.57,1471.10
16384,1000,7.36,2225.05
32768,1000,10.08,3250.90
65536,640,14.54,4506.48
131072,320,23.57,5560.33
262144,160,33.43,7841.38
524288,80,56.05,9353.53
1048576,40,99.04,10586.89
2097152,20,186.02,11273.92
4194304,10,355.69,11792.12
8388608,5,697.95,12019.01
16777216,2,1383.32,12128.25
33554432,1,2756.67,12172.07
67108864,1,5510.24,12178.93
134217728,1,11022.40,12176.82
268435456,1,22072.57,12161.50
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.39,0.00
1,1000,1.38,0.73
2,1000,1.38,1.45
4,1000,1.38,2.90
8,1000,1.38,5.80
16,1000,1.38,11.59
32,1000,1.41,22.67
64,1000,1.82,35.16
128,1000,1.76,72.79
256,1000,2.02,126.80
512,1000,2.09,244.39
1024,1000,2.33,439.65
2048,1000,3.03,676.27
4096,1000,3.91,1047.04
8192,1000,5.52,1483.29
16384,1000,7.31,2242.37
32768,1000,10.19,3216.17
65536,640,14.47,4528.82
131072,320,23.54,5568.27
262144,160,33.56,7812.02
524288,80,55.62,9425.62
1048576,40,98.96,10596.31
2097152,20,185.99,11275.73
4194304,10,355.02,11814.19
8388608,5,698.17,12015.09
16777216,2,1385.34,12110.52
33554432,1,2759.90,12157.85
67108864,1,5512.37,12174.24
134217728,1,11023.44,12175.66
268435456,1,22071.74,12161.95
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.39,0.00
1,1000,1.38,0.72
2,1000,1.38,1.45
4,1000,1.38,2.90
8,1000,1.38,5.79
16,1000,1.38,11.55
32,1000,1.42,22.58
64,1000,1.70,37.67
128,1000,1.74,73.45
256,1000,2.02,126.96
512,1000,2.09,245.04
1024,1000,2.29,447.63
2048,1000,2.99,685.01
4096,1000,3.92,1045.91
