#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.37,0.00
1,1000,1.36,0.73
2,1000,1.37,1.46
4,1000,1.37,2.92
8,1000,1.36,5.89
16,1000,1.36,11.74
32,1000,1.38,23.14
64,1000,1.57,40.67
128,1000,1.63,78.76
256,1000,1.89,135.70
512,1000,1.95,262.43
1024,1000,2.14,478.66
2048,1000,2.80,731.53
4096,1000,3.67,1115.59
8192,1000,4.64,1767.11
16384,1000,6.37,2571.97
32768,1000,10.67,3071.28
65536,640,13.16,4978.53
131072,320,23.08,5678.77
262144,160,33.06,7930.29
524288,80,57.98,9042.49
1048576,40,98.58,10637.00
2097152,20,184.78,11349.72
4194304,10,356.71,11758.25
8388608,5,698.19,12014.73
16777216,2,1386.43,12101.00
33554432,1,2757.53,12168.31
67108864,1,5500.16,12201.26
134217728,1,10956.51,12250.05
268435456,1,22018.60,12191.31
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.28,0.00
1,1000,1.28,0.78
2,1000,1.29,1.55
4,1000,1.29,3.11
8,1000,1.28,6.24
16,1000,1.28,12.46
32,1000,1.30,24.68
64,1000,1.44,44.52
128,1000,1.48,86.35
256,1000,1.71,149.55
512,1000,1.78,288.19
1024,1000,1.94,527.25
2048,1000,2.54,806.48
4096,1000,3.27,1252.77
8192,1000,4.24,1934.30
16384,1000,5.91,2771.06
32768,1000,10.25,3195.84
65536,640,13.40,4890.10
131072,320,22.67,5782.70
262144,160,33.03,7935.39
524288,80,54.94,9542.10
1048576,40,98.51,10643.98
2097152,20,185.49,11305.87
4194304,10,354.02,11847.65
8388608,5,697.63,12024.48
16777216,2,1384.90,12114.41
33554432,1,2767.16,12125.96
67108864,1,5504.22,12192.26
134217728,1,11031.16,12167.15
268435456,1,22039.92,12179.51
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.33,0.00
1,1000,1.34,0.75
2,1000,1.35,1.48
4,1000,1.35,2.97
8,1000,1.34,5.95
16,1000,1.34,11.90
32,1000,1.36,23.54
64,1000,1.56,41.13
128,1000,1.61,79.41
256,1000,1.86,137.85
512,1000,1.93,265.06
1024,1000,2.11,486.32
2048,1000,2.82,726.75
4096,1000,3.57,1148.88
8192,1000,4.58,1788.54
16384,1000,6.27,2612.73
32768,1000,10.48,3127.32
65536,640,13.33,4917.83
131072,320,22.52,5820.07
262144,160,33.66,7786.96
