#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.90,0.00
1,1000,15.95,0.06
2,1000,15.96,0.13
4,1000,15.96,0.25
8,1000,15.90,0.50
16,1000,16.03,1.00
32,1000,16.05,1.99
64,1000,16.09,3.98
128,1000,16.46,7.78
256,1000,16.45,15.56
512,1000,16.68,30.69
1024,1000,17.41,58.81
2048,1000,38.91,52.63
4096,1000,39.30,104.23
8192,1000,40.03,204.67
16384,1000,41.93,390.76
32768,1000,49.81,657.84
65536,640,81.15,807.58
131072,320,135.30,968.74
262144,160,204.01,1284.96
524288,80,322.37,1626.35
1048576,40,522.20,2007.99
2097152,20,943.26,2223.29
4194304,10,1936.00,2166.48
8388608,5,4167.52,2012.85
16777216,2,8324.69,2015.36
33554432,1,16380.99,2048.38
67108864,1,32260.78,2080.20
134217728,1,64048.43,2095.57
268435456,1,126186.45,2127.29
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.56,0.00
1,1000,15.65,0.06
2,1000,15.65,0.13
4,1000,15.62,0.26
8,1000,15.61,0.51
16,1000,15.66,1.02
32,1000,15.65,2.04
64,1000,15.72,4.07
128,1000,16.14,7.93
256,1000,16.17,15.84
512,1000,16.35,31.32
1024,1000,16.87,60.69
2048,1000,38.36,53.39
4096,1000,38.98,105.08
8192,1000,39.97,204.94
16384,1000,41.57,394.09
32768,1000,49.55,661.31
65536,640,81.58,803.35
131072,320,134.19,976.79
262144,160,211.44,1239.83
524288,80,321.49,1630.81
1048576,40,520.86,2013.16
2097152,20,931.36,2251.72
4194304,10,1903.46,2203.51
8388608,5,3973.04,2111.38
16777216,2,7939.01,2113.26
33554432,1,15939.56,2105.10
67108864,1,31473.29,2132.25
134217728,1,61804.63,2171.65
268435456,1,123845.84,2167.50
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.51,0.00
1,1000,15.58,0.06
2,1000,15.54,0.13
4,1000,15.52,0.26
8,1000,15.52,0.52
16,1000,15.53,1.03
32,1000,15.59,2.05
64,1000,15.62,4.10
128,1000,16.19,7.91
256,1000,16.05,15.95
512,1000,16.36,31.29
1024,1000,16.72,61.26
2048,1000,38.22,53.58
4096,1000,38.51,106.37
8192,1000,39.41,207.88
16384,1000,41.11,398.52
32768,1000,45.77,716.00
65536,640,80.60,813.06
131072,320,141.60,925.63
262144,160,203.52,1288.03
524288,80,326.44,1606.08
1048576,40,546.74,1917.86
2097152,20,972.49,2156.49
4194304,10,1991.97,2105.61
8388608,5,4102.01,2045.00
16777216,2,8116.38,2067.08
33554432,1,16094.46,2084.84
67108864,1,32069.50,2092.61
