#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,14.96,0.00
1,1000,15.27,0.07
2,1000,15.01,0.13
4,1000,14.96,0.27
8,1000,14.95,0.54
16,1000,15.01,1.07
32,1000,15.07,2.12
64,1000,15.14,4.23
128,1000,15.62,8.20
256,1000,15.68,16.33
512,1000,15.74,32.53
1024,1000,16.22,63.15
2048,1000,39.45,51.92
4096,1000,39.76,103.02
8192,1000,65.47,125.12
16384,1000,49.01,334.30
32768,1000,97.99,334.39
65536,640,105.81,619.37
131072,320,132.93,986.00
262144,160,219.53,1194.14
524288,80,305.47,1716.35
1048576,40,491.54,2133.23
2097152,20,846.32,2477.97
4194304,10,1588.83,2639.87
8388608,5,3575.06,2346.43
16777216,2,7239.19,2317.55
33554432,1,15585.05,2152.99
67108864,1,29779.75,2253.51
134217728,1,58673.49,2287.54
268435456,1,116594.85,2302.29
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,17.30,0.00
1,1000,17.32,0.06
2,1000,17.33,0.12
4,1000,17.33,0.23
8,1000,17.35,0.46
16,1000,17.42,0.92
32,1000,17.37,1.84
64,1000,17.47,3.66
128,1000,18.12,7.06
256,1000,18.22,14.05
512,1000,18.51,27.66
1024,1000,18.87,54.27
2048,1000,41.19,49.72
4096,1000,42.03,97.46
8192,1000,74.23,110.36
16384,1000,49.50,330.98
32768,1000,98.38,333.07
65536,640,119.46,548.62
131072,320,148.02,885.48
262144,160,249.86,1049.18
524288,80,358.37,1462.99
1048576,40,555.16,1888.78
2097152,20,972.87,2155.63
4194304,10,1963.66,2135.97
8388608,5,4262.36,1968.07
16777216,2,8504.86,1972.66
33554432,1,17066.58,1966.09
67108864,1,34018.68,1972.71
134217728,1,67691.15,1982.80
268435456,1,134995.70,1988.47
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.16,0.00
1,1000,15.15,0.07
2,1000,15.18,0.13
4,1000,15.14,0.26
8,1000,15.18,0.53
16,1000,15.20,1.05
32,1000,15.25,2.10
64,1000,15.29,4.19
128,1000,15.83,8.09
256,1000,15.98,16.02
512,1000,16.08,31.84
1024,1000,16.58,61.75
2048,1000,39.98,51.23
4096,1000,40.26,101.73
8192,1000,59.98,136.58
16384,1000,49.01,334.28
32768,1000,97.44,336.30
65536,640,111.18,589.43
131072,320,140.49,932.94
262144,160,221.55,1183.22
524288,80,308.07,1701.83
1048576,40,492.77,2127.92
2097152,20,848.95,2470.30
4194304,10,1593.40,2632.29
8388608,5,3479.25,2411.04
16777216,2,7111.78,2359.08
33554432,1,14415.79,2327.62
67108864,1,28654.27,2342.02
134217728,1,57254.53,2344.23
268435456,1,114025.47,2354.17
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.86,0.00
1,1000,16.83,0.06
2,1000,16.86,0.12
4,1000,16.88,0.24
8,1000,16.87,0.47
16,1000,16.89,0.95
32,1000,16.88,1.90
64,1000,17.01,3.76
128,1000,17.52,7.31
256,1000,17.67,14.49
512,1000,17.92,28.57
1024,1000,18.40,55.64
2048,1000,41.04,49.91
4096,1000,41.81,97.96
8192,1000,69.51,117.86
16384,1000,49.86,328.57
32768,1000,100.64,325.59
65536,640,108.27,605.31
131072,320,133.14,984.49
262144,160,243.95,1074.58
524288,80,346.24,1514.24
1048576,40,572.86,1830.41
2097152,20,982.61,2134.27
4194304,10,2152.34,1948.72
8388608,5,4639.06,1808.26
16777216,2,9193.22,1824.95
33554432,1,18306.62,1832.91
67108864,1,36518.62,1837.66
134217728,1,72388.49,1854.13
268435456,1,144909.61,1852.43
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,17.33,0.00
1,1000,17.30,0.06
2,1000,17.33,0.12
4,1000,17.35,0.23
8,1000,17.42,0.46
16,1000,17.37,0.92
32,1000,17.43,1.84
64,1000,17.52,3.65
128,1000,18.22,7.03
256,1000,18.33,13.97
512,1000,18.45,27.75
1024,1000,18.90,54.17
2048,1000,41.48,49.37
4096,1000,42.52,96.33
8192,1000,73.11,112.04
16384,1000,50.96,321.52
32768,1000,102.46,319.83
65536,640,114.27,573.52
131072,320,144.75,905.53
262144,160,250.60,1046.05
524288,80,354.22,1480.13
1048576,40,549.84,1907.07
2097152,20,965.76,2171.50
4194304,10,2039.48,2056.55
8388608,5,4244.21,1976.48
16777216,2,8590.62,1952.97
33554432,1,17291.50,1940.52
67108864,1,34437.87,1948.69
134217728,1,68518.32,1958.86
268435456,1,137208.17,1956.41
