#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.31,0.00
1,1000,12.28,0.08
2,1000,12.32,0.16
4,1000,12.34,0.32
8,1000,12.32,0.65
16,1000,12.31,1.30
32,1000,12.34,2.59
64,1000,12.34,5.19
128,1000,12.39,10.33
256,1000,12.43,20.60
512,1000,12.45,41.12
1024,1000,12.88,79.51
2048,1000,22.56,90.78
4096,1000,27.81,147.26
8192,1000,36.99,221.47
16384,1000,42.16,388.65
32768,1000,68.85,475.95
65536,640,100.95,649.21
131072,320,156.19,839.18
262144,160,222.10,1180.28
524288,80,330.47,1586.49
1048576,40,529.07,1981.92
2097152,20,928.84,2257.82
4194304,10,1781.83,2353.93
8388608,5,4062.72,2064.78
16777216,2,7624.24,2200.51
33554432,1,15683.57,2139.46
67108864,1,31381.60,2138.48
134217728,1,60740.18,2209.70
268435456,1,121899.75,2202.10
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.45,0.00
1,1000,12.46,0.08
2,1000,12.47,0.16
4,1000,12.76,0.31
8,1000,12.38,0.65
16,1000,12.60,1.27
32,1000,12.47,2.57
64,1000,12.54,5.10
128,1000,12.63,10.13
256,1000,12.86,19.91
512,1000,13.14,38.95
1024,1000,13.50,75.86
2048,1000,22.22,92.15
4096,1000,26.94,152.03
8192,1000,35.95,227.87
16384,1000,39.88,410.88
32768,1000,72.79,450.20
65536,640,122.43,535.30
131072,320,159.10,823.85
262144,160,208.12,1259.58
524288,80,341.55,1535.03
1048576,40,531.41,1973.21
2097152,20,945.18,2218.79
4194304,10,1802.14,2327.40
8388608,5,3744.06,2240.51
16777216,2,8280.91,2026.01
33554432,1,15174.36,2211.26
67108864,1,30160.84,2225.03
134217728,1,59678.52,2249.01
268435456,1,118594.04,2263.48
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.54,0.00
1,1000,12.50,0.08
2,1000,12.48,0.16
4,1000,12.53,0.32
8,1000,12.45,0.64
16,1000,12.48,1.28
32,1000,12.57,2.55
64,1000,12.49,5.13
128,1000,12.74,10.05
256,1000,12.84,19.94
512,1000,13.10,39.10
1024,1000,13.37,76.56
2048,1000,22.96,89.20
4096,1000,24.89,164.57
8192,1000,39.28,208.55
16384,1000,51.23,319.80
32768,1000,70.59,464.22
65536,640,103.90,630.77
131072,320,148.15,884.71
262144,160,214.08,1224.50
524288,80,334.73,1566.32
1048576,40,513.96,2040.19
2097152,20,901.05,2327.46
4194304,10,1772.14,2366.80
8388608,5,3658.27,2293.05
16777216,2,7178.80,2337.05
33554432,1,14540.93,2307.58
67108864,1,29043.19,2310.66
134217728,1,55748.60,2407.55
268435456,1,109787.03,2445.06
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,22.44,0.00
1,1000,22.42,0.04
2,1000,22.46,0.09
4,1000,22.40,0.18
8,1000,22.26,0.36
16,1000,12.57,1.27
32,1000,12.61,2.54
64,1000,12.62,5.07
128,1000,12.75,10.04
256,1000,12.87,19.89
512,1000,12.84,39.88
1024,1000,12.89,79.42
2048,1000,21.92,93.43
4096,1000,23.04,177.78
8192,1000,38.37,213.50
16384,1000,42.45,385.93
32768,1000,70.30,466.11
65536,640,87.73,746.98
131072,320,154.03,850.95
262144,160,224.26,1168.92
524288,80,334.15,1569.02
1048576,40,520.82,2013.30
2097152,20,914.49,2293.25
4194304,10,1717.67,2441.85
8388608,5,3552.88,2361.07
16777216,2,7125.52,2354.53
33554432,1,14334.75,2340.78
67108864,1,28358.08,2366.48
134217728,1,55813.97,2404.73
268435456,1,113781.13,2359.23
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.72,0.00
1,1000,12.70,0.08
2,1000,12.69,0.16
4,1000,12.73,0.31
8,1000,12.50,0.64
16,1000,12.48,1.28
32,1000,12.52,2.56
64,1000,12.76,5.02
128,1000,13.12,9.75
256,1000,12.63,20.28
512,1000,12.77,40.11
1024,1000,13.05,78.48
2048,1000,20.94,97.83
4096,1000,26.81,152.80
8192,1000,37.55,218.18
16384,1000,41.96,390.42
32768,1000,73.38,446.52
65536,640,91.70,714.67
131072,320,154.91,846.13
262144,160,211.79,1237.78
524288,80,312.37,1678.45
1048576,40,500.91,2093.33
2097152,20,923.69,2270.40
4194304,10,1779.87,2356.52
8388608,5,3510.47,2389.60
16777216,2,7085.46,2367.84
33554432,1,14434.79,2324.55
67108864,1,28746.86,2334.48
134217728,1,52960.86,2534.28
268435456,1,114159.60,2351.40
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.50,0.00
1,1000,12.48,0.08
2,1000,12.49,0.16
4,1000,12.49,0.32
8,1000,12.22,0.65
16,1000,12.61,1.27
32,1000,12.20,2.62
64,1000,12.21,5.24
128,1000,12.36,10.36
256,1000,12.77,20.04
512,1000,12.68,40.37
1024,1000,13.14,77.92
2048,1000,20.66,99.15
4096,1000,24.60,166.51
8192,1000,39.38,208.00
16384,1000,49.65,330.00
32768,1000,69.55,471.13
65536,640,103.00,636.27
131072,320,149.33,877.71
262144,160,223.39,1173.50
524288,80,333.79,1570.72
1048576,40,516.19,2031.36
2097152,20,903.20,2321.92
4194304,10,1765.37,2375.88
8388608,5,3443.06,2436.38
16777216,2,7004.11,2395.34
33554432,1,14092.35,2381.04
67108864,1,28104.54,2387.83
134217728,1,55316.97,2426.34
268435456,1,108849.20,2466.12
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,31.20,0.00
1,1000,12.92,0.08
2,1000,12.92,0.15
4,1000,12.96,0.31
8,1000,12.57,0.64
16,1000,12.36,1.29
32,1000,12.38,2.58
64,1000,12.51,5.12
128,1000,12.76,10.03
256,1000,13.05,19.61
512,1000,12.83,39.91
1024,1000,12.60,81.25
2048,1000,22.71,90.19
4096,1000,27.44,149.29
8192,1000,37.27,219.78
16384,1000,39.52,414.58
32768,1000,72.00,455.08
65536,640,112.49,582.59
131072,320,171.35,764.93
262144,160,227.39,1152.83
524288,80,336.10,1559.92
1048576,40,523.74,2002.11
2097152,20,919.84,2279.92
4194304,10,1748.63,2398.62
8388608,5,3498.36,2397.87
16777216,2,7104.72,2361.42
33554432,1,14244.56,2355.60
67108864,1,28545.16,2350.97
134217728,1,55626.57,2412.83
268435456,1,109826.71,2444.17
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.79,0.00
1,1000,12.59,0.08
2,1000,12.31,0.16
4,1000,12.31,0.32
8,1000,12.32,0.65
16,1000,12.34,1.30
32,1000,12.41,2.58
64,1000,12.51,5.12
128,1000,12.87,9.94
256,1000,13.15,19.46
512,1000,12.98,39.44
1024,1000,13.54,75.60
2048,1000,22.61,90.58
4096,1000,25.75,159.07
8192,1000,40.14,204.09
16384,1000,45.03,363.85
32768,1000,66.12,495.55
65536,640,126.50,518.07
131072,320,159.85,819.99
262144,160,224.81,1166.07
524288,80,322.49,1625.76
1048576,40,523.18,2004.23
2097152,20,944.75,2219.79
4194304,10,1723.64,2433.40
