#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.39,0.00
1,1000,1.38,0.73
2,1000,1.38,1.45
4,1000,1.38,2.90
8,1000,1.38,5.80
16,1000,1.38,11.57
32,1000,1.41,22.65
64,1000,1.69,37.88
128,1000,1.73,73.86
256,1000,2.02,126.97
512,1000,2.09,245.24
1024,1000,2.34,437.46
2048,1000,3.01,681.41
4096,1000,3.93,1042.90
8192,1000,5.52,1483.05
16384,1000,7.30,2243.89
32768,1000,10.09,3246.66
65536,640,14.47,4529.20
131072,320,23.52,5573.29
262144,160,33.30,7871.82
524288,80,58.13,9019.82
1048576,40,98.82,10611.06
2097152,20,184.79,11349.14
4194304,10,357.83,11721.38
8388608,5,699.70,11988.83
16777216,2,1385.97,12105.00
33554432,1,2763.97,12139.92
67108864,1,5522.34,12152.25
134217728,1,11042.18,12155.00
268435456,1,22115.55,12137.86
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.38,0.72
2,1000,1.38,1.45
4,1000,1.38,2.90
8,1000,1.38,5.79
16,1000,1.39,11.55
32,1000,1.41,22.63
64,1000,1.70,37.68
128,1000,1.74,73.38
256,1000,2.02,126.76
512,1000,2.09,245.46
1024,1000,2.34,437.27
2048,1000,3.02,678.43
4096,1000,3.93,1042.92
8192,1000,5.55,1475.29
16384,1000,7.34,2231.36
32768,1000,10.09,3247.98
65536,640,14.52,4513.15
131072,320,23.57,5561.17
262144,160,33.26,7882.49
524288,80,58.13,9019.19
1048576,40,98.79,10613.66
2097152,20,184.86,11344.58
4194304,10,356.27,11772.72
8388608,5,698.39,12011.40
16777216,2,1383.97,12122.53
33554432,1,2763.96,12139.97
67108864,1,5518.08,12161.64
134217728,1,11032.21,12165.98
268435456,1,22073.64,12160.91
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.39,0.00
1,1000,1.38,0.73
2,1000,1.37,1.45
4,1000,1.38,2.90
8,1000,1.38,5.80
16,1000,1.38,11.57
32,1000,1.41,22.72
64,1000,1.71,37.38
128,1000,1.75,73.22
256,1000,2.02,126.60
512,1000,2.09,245.01
1024,1000,2.33,438.95
2048,1000,3.00,682.53
4096,1000,4.02,1017.71
8192,1000,5.56,1473.37
16384,1000,7.38,2219.23
32768,1000,10.09,3246.64
65536,640,14.54,4507.56
131072,320,23.51,5574.78
262144,160,33.34,7862.59
524288,80,58.13,9019.59
1048576,40,98.81,10611.65
2097152,20,184.89,11342.51
4194304,10,355.71,11791.32
8388608,5,697.57,12025.47
16777216,2,1384.56,12117.39
33554432,1,2761.35,12151.44
67108864,1,5514.68,12169.13
134217728,1,11007.74,12193.03
268435456,1,22049.87,12174.02
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.38,0.00
1,1000,1.38,0.73
2,1000,1.37,1.45
4,1000,1.38,2.90
8,1000,1.38,5.79
16,1000,1.38,11.57
32,1000,1.41,22.66
64,1000,1.71,37.46
128,1000,1.75,73.06
256,1000,2.03,126.21
512,1000,2.09,245.07
1024,1000,2.45,417.36
2048,1000,3.02,678.95
4096,1000,3.91,1047.12
8192,1000,5.51,1486.73
16384,1000,7.33,2233.75
32768,1000,10.15,3228.98
65536,640,14.50,4519.36
131072,320,23.56,5562.73
262144,160,33.25,7882.95
524288,80,55.86,9385.74
1048576,40,98.81,10611.86
2097152,20,184.84,11345.79
4194304,10,354.69,11825.40
8388608,5,698.86,12003.34
16777216,2,1382.57,12134.81
33554432,1,2761.87,12149.16
67108864,1,5512.45,12174.06
134217728,1,11017.32,12182.42
268435456,1,22084.74,12154.80
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.41,0.00
1,1000,1.41,0.71
2,1000,1.40,1.43
4,1000,1.40,2.86
8,1000,1.41,5.69
16,1000,1.41,11.38
32,1000,1.44,22.28
64,1000,1.71,37.35
128,1000,1.76,72.90
256,1000,3.66,69.95
512,1000,2.09,244.60
1024,1000,2.32,441.56
2048,1000,2.98,686.82
4096,1000,4.00,1024.53
8192,1000,5.57,1469.56
16384,1000,7.36,2226.94
32768,1000,10.09,3248.21
65536,640,14.50,4520.54
131072,320,23.56,5563.63
262144,160,33.25,7884.86
524288,80,56.01,9361.12
1048576,40,98.85,10608.19
2097152,20,185.99,11275.59
4194304,10,355.27,11805.86
8388608,5,698.87,12003.15
16777216,2,1384.29,12119.75
33554432,1,2771.80,12105.66
67108864,1,5510.98,12177.30
134217728,1,11038.07,12159.53
268435456,1,22078.07,12158.47
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.39,0.00
1,1000,1.38,0.72
2,1000,1.38,1.45
4,1000,1.38,2.90
8,1000,1.38,5.79
16,1000,1.38,11.57
32,1000,1.41,22.65
64,1000,1.70,37.63
128,1000,1.74,73.58
256,1000,2.02,126.80
512,1000,2.09,245.37
1024,1000,2.34,438.12
2048,1000,2.99,684.36
4096,1000,3.92,1046.01
8192,1000,5.50,1488.67
16384,1000,7.33,2234.88
32768,1000,10.14,3232.70
65536,640,14.49,4521.85
131072,320,23.54,5568.90
262144,160,33.31,7869.31
524288,80,56.15,9337.62
1048576,40,98.81,10612.24
2097152,20,185.38,11312.89
4194304,10,355.16,11809.74
8388608,5,697.81,12021.38
16777216,2,1382.02,12139.65
33554432,1,2754.81,12180.32
67108864,1,5501.07,12199.23
134217728,1,11011.88,12188.45
268435456,1,22067.06,12164.53
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.39,0.00
1,1000,1.39,0.72
2,1000,1.38,1.44
4,1000,1.39,2.89
8,1000,1.38,5.78
16,1000,1.39,11.55
32,1000,1.41,22.67
64,1000,1.71,37.43
128,1000,1.75,73.04
256,1000,3.46,73.99
512,1000,2.09,245.09
1024,1000,2.34,437.54
2048,1000,2.99,685.38
4096,1000,4.02,1020.12
8192,1000,5.55,1475.01
16384,1000,7.35,2228.88
32768,1000,10.06,3256.97
65536,640,14.52,4514.93
131072,320,23.51,5575.76
262144,160,33.29,7873.68
