#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.65
4,1000,0.43,9.25
8,1000,0.43,18.66
16,1000,0.43,37.23
32,1000,0.59,54.37
64,1000,0.59,108.03
128,1000,1.07,119.99
256,1000,1.10,232.79
512,1000,1.20,425.56
1024,1000,1.73,592.71
2048,1000,2.12,964.21
4096,1000,3.00,1363.43
8192,1000,4.71,1737.72
16384,1000,7.14,2294.88
32768,1000,12.78,2564.12
65536,640,24.07,2722.28
131072,320,44.00,2978.81
262144,160,14.74,17785.07
524288,80,25.64,20450.14
1048576,40,62.33,16822.86
2097152,20,155.27,13506.44
4194304,10,322.68,12998.41
8388608,5,717.10,11697.94
16777216,2,2245.79,7470.51
33554432,1,5754.51,5830.98
67108864,1,12036.08,5575.64
134217728,1,24500.49,5478.17
268435456,1,47580.48,5641.71
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.45,2.22
2,1000,0.44,4.60
4,1000,0.43,9.22
8,1000,0.44,18.36
16,1000,0.43,36.80
32,1000,0.59,54.70
64,1000,0.60,106.65
128,1000,1.10,116.32
256,1000,1.12,229.54
512,1000,1.20,427.16
1024,1000,1.43,714.84
2048,1000,2.11,968.73
4096,1000,3.01,1362.17
8192,1000,4.70,1741.60
16384,1000,7.16,2289.75
32768,1000,12.89,2541.74
65536,640,24.39,2686.57
131072,320,45.03,2911.02
262144,160,14.68,17858.59
524288,80,26.30,19938.33
1048576,40,60.13,17438.83
2097152,20,155.88,13453.25
4194304,10,322.05,13023.66
8388608,5,695.86,12054.98
16777216,2,2178.96,7699.65
33554432,1,5822.97,5762.42
67108864,1,12153.76,5521.65
134217728,1,24257.80,5532.97
268435456,1,47784.05,5617.68
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.44,2.29
2,1000,0.44,4.57
4,1000,0.44,9.15
8,1000,0.44,18.32
16,1000,0.44,36.71
32,1000,0.57,55.82
64,1000,0.60,105.81
128,1000,1.10,116.21
256,1000,1.12,227.58
512,1000,1.21,422.36
1024,1000,1.54,665.96
2048,1000,2.13,961.11
4096,1000,3.01,1358.74
8192,1000,4.74,1726.64
16384,1000,7.18,2282.26
32768,1000,12.89,2541.96
65536,640,24.52,2672.60
131072,320,46.29,2831.36
262144,160,14.72,17807.07
524288,80,26.31,19927.81
1048576,40,60.44,17348.96
2097152,20,157.05,13353.12
4194304,10,327.69,12799.53
8388608,5,717.70,11688.17
16777216,2,2210.00,7591.51
33554432,1,6805.92,4930.18
67108864,1,12016.77,5584.60
134217728,1,24083.67,5572.98
268435456,1,48245.45,5563.95
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.33
2,1000,0.43,4.62
4,1000,0.43,9.28
8,1000,0.43,18.54
16,1000,0.43,36.97
32,1000,0.59,54.08
64,1000,0.63,101.45
128,1000,1.07,119.94
256,1000,1.11,229.76
512,1000,1.21,424.42
1024,1000,1.47,694.70
2048,1000,2.12,964.12
4096,1000,3.01,1360.46
8192,1000,4.72,1734.20
16384,1000,7.18,2282.84
32768,1000,12.81,2558.80
65536,640,23.96,2735.22
131072,320,44.46,2947.96
262144,160,14.72,17808.11
524288,80,26.62,19695.79
1048576,40,61.74,16983.40
2097152,20,162.62,12895.68
4194304,10,339.80,12343.58
8388608,5,768.59,10914.30
16777216,2,2220.98,7553.97
33554432,1,6039.38,5555.94
67108864,1,12090.02,5550.76
134217728,1,24460.45,5487.13
268435456,1,47705.96,5626.87
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.46,2.18
2,1000,0.43,4.64
4,1000,0.43,9.27
8,1000,0.43,18.52
16,1000,0.43,37.05
32,1000,0.58,54.82
64,1000,0.60,106.99
128,1000,1.09,117.68
256,1000,1.12,228.05
512,1000,1.22,420.86
1024,1000,1.48,692.82
2048,1000,2.11,971.28
4096,1000,3.00,1365.97
8192,1000,4.73,1732.09
16384,1000,7.41,2210.23
32768,1000,12.97,2527.33
65536,640,23.96,2735.29
131072,320,45.49,2881.04
262144,160,14.73,17797.62
524288,80,25.78,20337.67
1048576,40,59.59,17597.09
2097152,20,157.15,13344.61
4194304,10,325.42,12888.94
8388608,5,713.71,11753.50
16777216,2,2224.29,7542.72
33554432,1,5885.34,5701.36
67108864,1,12169.17,5514.66
134217728,1,24489.03,5480.73
268435456,1,47625.75,5636.35
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.31
2,1000,0.43,4.63
4,1000,0.43,9.26
8,1000,0.43,18.52
16,1000,0.43,37.10
32,1000,0.58,55.24
64,1000,0.63,101.57
128,1000,1.10,116.09
256,1000,1.12,229.54
512,1000,1.21,424.71
1024,1000,1.45,707.09
2048,1000,2.11,971.13
4096,1000,3.00,1364.56
8192,1000,4.69,1748.13
16384,1000,7.24,2263.88
32768,1000,12.92,2536.40
65536,640,23.81,2752.15
131072,320,45.04,2909.92
262144,160,14.71,17815.69
524288,80,25.96,20197.70
1048576,40,61.30,17106.39
2097152,20,156.29,13418.47
4194304,10,323.16,12978.84
8388608,5,703.80,11919.10
16777216,2,2211.63,7585.90
33554432,1,5863.67,5722.43
67108864,1,12249.74,5478.39
134217728,1,24148.60,5557.99
268435456,1,48099.33,5580.86
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.66
4,1000,0.43,9.24
8,1000,0.43,18.49
16,1000,0.43,37.18
32,1000,0.58,55.01
64,1000,0.60,106.69
128,1000,1.08,118.71
256,1000,1.12,229.02
512,1000,1.21,422.32
1024,1000,1.50,684.79
2048,1000,2.12,966.82
4096,1000,3.00,1364.66
8192,1000,4.72,1737.35
16384,1000,7.16,2287.48
32768,1000,12.84,2551.69
65536,640,24.27,2700.17
131072,320,45.18,2901.42
262144,160,14.84,17662.02
524288,80,27.76,18887.50
1048576,40,59.10,17742.80
2097152,20,158.95,13193.85
4194304,10,329.80,12717.87
8388608,5,723.66,11591.98
16777216,2,2268.84,7394.61
33554432,1,6139.56,5465.28
67108864,1,12427.47,5400.04
134217728,1,24374.23,5506.54
268435456,1,48826.79,5497.71
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.65
4,1000,0.43,9.25
8,1000,0.43,18.60
16,1000,0.43,37.03
32,1000,0.58,55.56
64,1000,0.61,104.88
128,1000,1.08,118.98
256,1000,1.12,228.57
512,1000,1.22,419.07
1024,1000,1.46,702.26
2048,1000,2.11,969.11
4096,1000,3.03,1350.92
8192,1000,4.73,1732.39
16384,1000,7.44,2202.61
32768,1000,13.03,2515.40
65536,640,23.95,2736.14
131072,320,47.64,2751.16
262144,160,14.65,17896.58
524288,80,26.83,19543.96
1048576,40,59.71,17562.24
2097152,20,156.36,13412.23
4194304,10,327.92,12790.71
8388608,5,719.63,11656.83
16777216,2,2288.80,7330.13
33554432,1,6000.97,5591.50
67108864,1,12288.12,5461.28
134217728,1,24456.51,5488.02
268435456,1,47853.85,5609.49
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.46,2.15
2,1000,0.43,4.63
4,1000,0.43,9.29
8,1000,0.43,18.52
16,1000,0.43,36.88
32,1000,0.59,54.00
64,1000,0.64,99.86
128,1000,1.08,118.04
256,1000,1.12,228.65
512,1000,1.22,419.53
1024,1000,1.47,694.80
2048,1000,2.14,956.11
4096,1000,3.01,1359.32
8192,1000,4.72,1737.21
16384,1000,7.31,2239.81
32768,1000,12.97,2527.06
65536,640,24.30,2696.91
131072,320,44.92,2918.00
262144,160,14.64,17902.80
524288,80,25.83,20297.89
1048576,40,59.02,17766.98
2097152,20,155.44,13491.66
4194304,10,323.51,12964.92
8388608,5,708.36,11842.22
16777216,2,2187.36,7670.08
33554432,1,5785.94,5799.31
67108864,1,12157.49,5519.96
134217728,1,24144.65,5558.90
268435456,1,48607.80,5522.48
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.46,2.18
2,1000,0.43,4.68
4,1000,0.43,9.26
8,1000,0.43,18.50
16,1000,0.43,36.96
32,1000,0.58,55.62
64,1000,0.60,107.45
128,1000,1.08,118.84
256,1000,1.12,229.18
512,1000,1.20,427.15
1024,1000,1.50,684.68
2048,1000,2.12,964.10
4096,1000,3.02,1356.43
8192,1000,4.72,1734.21
16384,1000,7.29,2248.73
32768,1000,12.98,2524.96
65536,640,24.03,2727.19
131072,320,43.80,2992.54
262144,160,14.44,18153.70
524288,80,25.84,20288.07
1048576,40,60.01,17474.20
2097152,20,156.69,13384.48
4194304,10,325.43,12888.42
8388608,5,714.83,11735.14
16777216,2,2286.29,7338.19
33554432,1,5918.63,5669.29
67108864,1,12293.81,5458.75
134217728,1,24195.75,5547.16
268435456,1,47938.58,5599.57
