#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.46,2.17
2,1000,0.46,4.35
4,1000,0.47,8.59
8,1000,0.45,17.66
16,1000,0.46,34.50
32,1000,0.50,63.79
64,1000,0.49,130.15
128,1000,0.59,218.58
256,1000,0.63,406.39
512,1000,0.94,543.34
1024,1000,1.01,1015.18
2048,1000,1.16,1763.57
4096,1000,1.56,2619.26
8192,1000,2.09,3911.98
16384,1000,3.89,4212.36
32768,1000,5.36,6115.63
65536,640,9.29,7051.50
131072,320,15.39,8519.32
262144,160,29.90,8767.66
524288,80,66.46,7888.36
1048576,40,133.93,7829.24
2097152,20,260.23,8058.78
4194304,10,511.23,8204.34
8388608,5,1060.32,7911.38
16777216,2,2319.62,7232.73
33554432,1,7930.13,4231.26
67108864,1,15827.44,4240.03
134217728,1,31798.18,4220.92
268435456,1,62720.34,4279.88
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.45,2.20
2,1000,0.45,4.43
4,1000,0.45,8.80
8,1000,0.45,17.66
16,1000,0.45,35.31
32,1000,0.50,63.95
64,1000,0.49,130.67
128,1000,0.58,220.34
256,1000,0.62,411.92
512,1000,0.95,537.72
1024,1000,1.00,1027.32
2048,1000,1.12,1831.84
4096,1000,1.56,2622.71
8192,1000,2.10,3906.78
16384,1000,3.54,4627.36
32768,1000,5.35,6129.02
65536,640,9.18,7140.65
131072,320,15.17,8640.64
262144,160,27.87,9406.96
524288,80,68.07,7702.43
1048576,40,132.96,7886.69
2097152,20,258.26,8120.35
4194304,10,510.08,8222.81
8388608,5,1060.69,7908.67
16777216,2,2321.55,7226.72
33554432,1,7924.73,4234.14
67108864,1,15794.47,4248.88
134217728,1,31914.17,4205.58
268435456,1,62364.51,4304.30
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.45,2.20
2,1000,0.45,4.43
4,1000,0.45,8.85
8,1000,0.45,17.69
16,1000,0.45,35.22
32,1000,0.50,63.78
64,1000,0.49,130.14
128,1000,0.60,214.47
256,1000,0.61,418.49
512,1000,0.97,528.34
1024,1000,1.01,1012.90
2048,1000,1.13,1807.89
4096,1000,1.62,2534.82
8192,1000,2.08,3933.60
16384,1000,3.58,4577.95
32768,1000,5.33,6153.30
65536,640,9.28,7059.57
131072,320,15.21,8615.64
262144,160,28.44,9217.19
524288,80,68.12,7696.81
1048576,40,131.96,7946.35
2097152,20,259.47,8082.31
4194304,10,513.32,8170.88
8388608,5,1076.07,7795.56
16777216,2,2304.85,7279.09
33554432,1,7910.25,4241.89
67108864,1,15778.62,4253.15
134217728,1,31785.10,4222.66
268435456,1,62546.94,4291.74
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.45,2.20
2,1000,0.45,4.43
4,1000,0.45,8.84
8,1000,0.45,17.65
16,1000,0.45,35.52
32,1000,0.49,64.70
64,1000,0.49,130.88
128,1000,0.59,217.04
256,1000,0.61,421.22
512,1000,0.93,550.26
1024,1000,0.99,1034.55
2048,1000,1.12,1836.04
4096,1000,1.56,2630.96
8192,1000,2.14,3827.80
16384,1000,3.48,4713.74
32768,1000,5.62,5826.52
65536,640,9.47,6917.11
131072,320,15.45,8481.28
262144,160,28.34,9250.30
524288,80,68.23,7683.82
1048576,40,133.22,7871.05
2097152,20,259.27,8088.72
4194304,10,511.03,8207.48
8388608,5,1058.90,7922.02
16777216,2,2295.44,7308.93
33554432,1,7908.52,4242.82
67108864,1,15824.98,4240.69
134217728,1,31606.52,4246.52
268435456,1,63033.03,4258.65
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.45,2.21
2,1000,0.46,4.34
4,1000,0.45,8.83
8,1000,0.45,17.71
16,1000,0.46,34.81
32,1000,0.49,64.69
64,1000,0.49,130.60
128,1000,0.59,217.86
256,1000,0.61,422.05
512,1000,0.96,530.74
1024,1000,1.03,994.48
2048,1000,1.15,1773.41
4096,1000,1.63,2512.87
8192,1000,2.07,3962.13
16384,1000,3.40,4815.98
32768,1000,5.41,6060.01
65536,640,9.66,6781.72
131072,320,15.42,8501.91
262144,160,28.10,9330.40
524288,80,78.67,6664.18
1048576,40,133.25,7869.46
2097152,20,257.62,8140.44
4194304,10,517.30,8108.07
8388608,5,1056.41,7940.67
16777216,2,2270.94,7387.78
33554432,1,7888.15,4253.78
67108864,1,15824.57,4240.80
134217728,1,31818.31,4218.25
268435456,1,62424.68,4300.15
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.45,2.21
