#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.61,0.00
1,1000,0.62,1.61
2,1000,0.62,3.24
4,1000,0.62,6.42
8,1000,0.62,12.80
16,1000,0.72,22.26
32,1000,0.73,43.89
64,1000,0.86,74.05
128,1000,1.03,124.57
256,1000,1.06,242.55
512,1000,1.38,371.51
1024,1000,1.68,608.53
2048,1000,1.93,1059.60
4096,1000,2.93,1400.15
8192,1000,3.57,2292.13
16384,1000,4.20,3896.64
32768,1000,5.01,6542.27
65536,640,7.01,9349.01
131072,320,10.88,12046.68
262144,160,18.37,14267.00
524288,80,36.99,14174.13
1048576,40,99.30,10559.35
2097152,20,226.36,9264.54
4194304,10,463.19,9055.18
8388608,5,1185.47,7076.18
16777216,2,3843.25,4365.37
33554432,1,9547.47,3514.48
67108864,1,19041.97,3524.26
134217728,1,37449.74,3583.94
268435456,1,73586.17,3647.91
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.61,0.00
1,1000,0.62,1.61
2,1000,0.62,3.20
4,1000,0.62,6.46
8,1000,0.62,13.00
16,1000,0.71,22.53
32,1000,0.71,44.83
64,1000,0.84,75.95
128,1000,1.05,121.69
256,1000,1.12,227.76
512,1000,1.37,373.80
1024,1000,1.59,642.90
2048,1000,1.78,1150.57
4096,1000,3.37,1214.56
8192,1000,3.57,2294.75
16384,1000,4.11,3989.05
32768,1000,5.09,6436.18
65536,640,7.02,9341.28
131072,320,10.48,12508.12
262144,160,18.36,14277.60
524288,80,38.34,13673.19
1048576,40,100.07,10478.88
2097152,20,240.42,8722.69
4194304,10,479.35,8750.07
8388608,5,1170.71,7165.42
16777216,2,4360.25,3847.77
33554432,1,9444.04,3552.97
67108864,1,18782.12,3573.02
134217728,1,37445.06,3584.39
268435456,1,73245.85,3664.86
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.59,0.00
1,1000,0.61,1.64
2,1000,0.62,3.24
4,1000,0.62,6.45
8,1000,0.61,13.02
16,1000,0.72,22.23
32,1000,0.74,43.07
64,1000,0.85,75.57
128,1000,1.06,120.83
256,1000,1.13,227.25
512,1000,1.34,382.69
1024,1000,1.49,687.62
2048,1000,1.96,1047.00
4096,1000,2.96,1382.10
8192,1000,3.44,2378.38
16384,1000,3.96,4141.24
32768,1000,4.90,6685.93
65536,640,7.05,9290.13
131072,320,10.38,12625.82
262144,160,18.17,14431.07
524288,80,37.97,13807.69
1048576,40,98.83,10610.17
2097152,20,230.19,9110.49
4194304,10,473.83,8851.90
8388608,5,1178.41,7118.56
16777216,2,3847.14,4360.96
33554432,1,9469.23,3543.52
67108864,1,18915.51,3547.82
134217728,1,38645.52,3473.05
268435456,1,74152.37,3620.05
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.59,0.00
1,1000,0.62,1.61
2,1000,0.62,3.22
4,1000,0.62,6.48
8,1000,0.62,12.97
16,1000,0.69,23.25
32,1000,0.70,45.90
64,1000,0.77,83.29
128,1000,1.04,123.09
256,1000,1.14,224.12
512,1000,1.36,376.99
1024,1000,1.74,587.15
2048,1000,1.83,1118.52
4096,1000,2.96,1384.61
8192,1000,3.55,2305.88
16384,1000,3.83,4276.01
32768,1000,5.28,6208.16
65536,640,6.72,9747.66
131072,320,10.33,12682.86
262144,160,18.26,14358.57
524288,80,38.00,13797.23
1048576,40,99.13,10577.49
2097152,20,228.82,9165.22
4194304,10,472.59,8875.19
8388608,5,1167.47,7185.31
16777216,2,3756.57,4466.09
