#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.21,4.74
2,1000,0.21,9.67
4,1000,0.20,19.62
8,1000,0.20,39.34
16,1000,0.20,78.57
32,1000,0.24,134.87
64,1000,0.24,269.19
128,1000,0.33,387.41
256,1000,0.34,750.66
512,1000,0.39,1297.45
1024,1000,0.50,2053.16
2048,1000,0.75,2722.37
4096,1000,1.12,3642.85
8192,1000,1.87,4381.40
16384,1000,2.95,5547.63
32768,1000,4.75,6904.47
65536,640,8.03,8159.32
131072,320,14.49,9045.16
262144,160,12.60,20797.83
524288,80,22.43,23377.87
1048576,40,51.54,20344.65
2097152,20,139.00,15087.75
4194304,10,310.02,13529.23
8388608,5,879.17,9541.55
16777216,2,2287.24,7335.12
33554432,1,5197.68,6455.65
67108864,1,10434.22,6431.61
134217728,1,20834.98,6441.94
268435456,1,41597.09,6453.23
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.89
2,1000,0.20,9.78
4,1000,0.20,19.58
8,1000,0.20,39.77
16,1000,0.21,78.04
32,1000,0.24,134.41
64,1000,0.24,268.58
128,1000,0.34,373.25
256,1000,0.35,733.47
512,1000,0.39,1304.29
1024,1000,0.50,2067.89
2048,1000,0.76,2710.81
4096,1000,1.13,3634.77
8192,1000,1.87,4383.53
16384,1000,2.95,5546.85
32768,1000,4.71,6950.68
65536,640,8.03,8159.01
131072,320,14.41,9094.39
262144,160,12.62,20779.73
524288,80,22.37,23441.23
1048576,40,54.24,19330.83
2097152,20,135.48,15479.30
4194304,10,307.95,13619.97
8388608,5,870.74,9633.93
16777216,2,2302.78,7285.63
33554432,1,5247.17,6394.77
67108864,1,10483.88,6401.15
134217728,1,20893.19,6424.00
268435456,1,41673.28,6441.43
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.20,4.89
2,1000,0.20,9.80
4,1000,0.20,19.65
8,1000,0.20,39.26
16,1000,0.20,79.47
32,1000,0.24,135.29
64,1000,0.24,271.79
128,1000,0.32,399.89
256,1000,0.37,693.40
512,1000,0.40,1265.45
1024,1000,0.50,2061.54
2048,1000,0.76,2690.67
4096,1000,1.13,3617.81
8192,1000,1.86,4393.29
16384,1000,2.95,5546.92
32768,1000,4.72,6937.07
65536,640,8.03,8159.77
131072,320,14.44,9075.52
262144,160,12.58,20838.06
524288,80,22.62,23178.88
1048576,40,53.21,19707.22
2097152,20,138.28,15165.54
4194304,10,312.70,13413.07
8388608,5,882.94,9500.74
16777216,2,2305.79,7276.12
33554432,1,5228.61,6417.47
67108864,1,10439.58,6428.31
134217728,1,20898.26,6422.43
268435456,1,41717.23,6434.64
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.91
2,1000,0.22,9.26
4,1000,0.21,19.44
8,1000,0.21,38.90
16,1000,0.20,79.06
32,1000,0.23,137.03
64,1000,0.24,270.99
128,1000,0.33,389.46
256,1000,0.36,702.96
512,1000,0.40,1273.54
1024,1000,0.49,2090.85
2048,1000,0.75,2721.76
4096,1000,1.13,3636.73
8192,1000,1.87,4385.08
16384,1000,2.95,5561.83
32768,1000,4.71,6950.60
65536,640,8.03,8164.25
131072,320,14.46,9061.57
262144,160,12.63,20759.77
524288,80,23.09,22703.90
1048576,40,52.42,20004.34
2097152,20,137.36,15267.90
4194304,10,306.27,13694.83
8388608,5,892.76,9396.28
16777216,2,2285.90,7339.45
33554432,1,5207.53,6443.44
67108864,1,10410.32,6446.38
134217728,1,20864.78,6432.74
268435456,1,41679.16,6440.52
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.89
2,1000,0.20,9.82
4,1000,0.21,18.93
8,1000,0.20,39.85
16,1000,0.20,79.33
32,1000,0.23,136.73
64,1000,0.23,273.24
128,1000,0.32,394.89
256,1000,0.35,735.88
512,1000,0.42,1210.71
1024,1000,0.51,2006.62
2048,1000,0.77,2661.33
4096,1000,1.13,3640.06
8192,1000,1.87,4391.71
16384,1000,2.95,5559.76
32768,1000,4.73,6923.70
65536,640,8.03,8163.68
131072,320,14.45,9072.57
262144,160,12.63,20751.58
524288,80,22.45,23358.48
1048576,40,53.87,19465.16
2097152,20,138.60,15130.69
4194304,10,301.03,13932.98
8388608,5,873.87,9599.34
16777216,2,2281.32,7354.17
33554432,1,5209.64,6440.83
67108864,1,10439.79,6428.18
134217728,1,20904.99,6420.37
268435456,1,41561.29,6458.79
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.99
2,1000,0.20,9.83
4,1000,0.20,19.77
8,1000,0.20,39.14
16,1000,0.20,78.63
32,1000,0.24,134.49
64,1000,0.24,266.23
128,1000,0.31,408.71
256,1000,0.34,755.81
512,1000,0.39,1329.30
1024,1000,0.50,2061.14
2048,1000,0.75,2718.02
4096,1000,1.13,3633.08
8192,1000,1.87,4387.06
16384,1000,2.95,5557.46
32768,1000,4.73,6932.73
65536,640,8.02,8175.35
131072,320,14.43,9081.06
262144,160,12.68,20676.74
524288,80,22.39,23420.97
1048576,40,52.62,19925.50
2097152,20,137.48,15254.32
4194304,10,315.86,13279.12
8388608,5,890.54,9419.65
16777216,2,2262.84,7414.23
33554432,1,5158.28,6504.96
67108864,1,10454.32,6419.25
134217728,1,20905.36,6420.25
268435456,1,41599.54,6452.85
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.86
2,1000,0.20,9.77
4,1000,0.20,19.58
8,1000,0.21,38.81
16,1000,0.20,78.30
32,1000,0.24,134.81
64,1000,0.23,272.49
128,1000,0.33,390.50
256,1000,0.35,739.72
512,1000,0.38,1335.39
1024,1000,0.50,2029.12
2048,1000,0.75,2720.72
4096,1000,1.13,3630.06
8192,1000,1.87,4387.50
16384,1000,2.94,5580.84
32768,1000,4.71,6949.79
65536,640,8.03,8159.52
131072,320,14.46,9064.18
262144,160,12.67,20693.20
524288,80,22.74,23054.72
1048576,40,52.55,19954.95
2097152,20,137.57,15244.54
4194304,10,306.33,13691.92
8388608,5,888.17,9444.87
16777216,2,2306.21,7274.81
33554432,1,5200.77,6451.82
67108864,1,10411.17,6445.85
134217728,1,20901.20,6421.53
268435456,1,41643.00,6446.11
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.92
2,1000,0.20,9.98
4,1000,0.20,19.74
8,1000,0.20,39.38
16,1000,0.20,78.07
32,1000,0.24,134.64
64,1000,0.23,274.60
128,1000,0.33,390.84
256,1000,0.36,716.82
512,1000,0.38,1341.89
1024,1000,0.50,2059.68
2048,1000,0.75,2725.05
4096,1000,1.12,3644.63
8192,1000,1.87,4387.98
16384,1000,2.94,5569.15
32768,1000,4.73,6935.02
65536,640,8.03,8160.90
131072,320,14.45,9072.08
262144,160,12.60,20810.76
524288,80,22.42,23383.19
1048576,40,52.80,19860.38
2097152,20,135.16,15516.58
4194304,10,304.97,13753.09
8388608,5,869.70,9645.41
16777216,2,2302.78,7285.65
33554432,1,5238.48,6405.38
67108864,1,10437.41,6429.65
134217728,1,20801.53,6452.30
268435456,1,41715.58,6434.90
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.82
2,1000,0.21,9.64
4,1000,0.21,19.24
8,1000,0.21,38.54
16,1000,0.21,76.78
32,1000,0.24,133.34
64,1000,0.24,267.88
128,1000,0.32,398.08
256,1000,0.36,720.78
512,1000,0.39,1309.45
1024,1000,0.49,2076.44
2048,1000,0.75,2719.59
4096,1000,1.13,3632.46
8192,1000,1.87,4391.63
16384,1000,2.94,5571.36
32768,1000,4.72,6935.44
65536,640,8.05,8142.16
131072,320,14.44,9078.83
262144,160,12.64,20734.51
524288,80,22.41,23396.86
1048576,40,52.44,19994.89
2097152,20,138.40,15153.22
4194304,10,306.95,13664.47
8388608,5,859.88,9755.55
16777216,2,2268.67,7395.18
33554432,1,5231.70,6413.67
67108864,1,10467.26,6411.31
134217728,1,20951.54,6406.10
268435456,1,41738.94,6431.29
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.86
2,1000,0.21,9.73
4,1000,0.20,19.83
8,1000,0.20,39.29
16,1000,0.20,78.39
32,1000,0.24,134.78
64,1000,0.24,268.69
128,1000,0.31,413.93
256,1000,0.35,739.16
512,1000,0.38,1349.57
1024,1000,0.50,2059.00
2048,1000,0.75,2725.16
4096,1000,1.12,3642.82
8192,1000,1.87,4392.01
16384,1000,2.95,5562.06
32768,1000,4.73,6922.88
65536,640,8.03,8162.80
131072,320,14.48,9051.51
262144,160,12.62,20770.04
524288,80,22.37,23436.14
1048576,40,53.29,19674.99
2097152,20,137.37,15266.64
4194304,10,302.28,13875.48
8388608,5,869.60,9646.49
16777216,2,2311.50,7258.15
33554432,1,5202.25,6449.99
67108864,1,10424.88,6437.37
134217728,1,20819.80,6446.64
268435456,1,41567.92,6457.75
