#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.24,4.19
2,1000,0.24,8.40
4,1000,0.24,16.77
8,1000,0.24,33.53
16,1000,0.24,66.96
32,1000,0.25,127.96
64,1000,0.25,253.63
128,1000,0.27,475.78
256,1000,0.29,886.38
512,1000,0.45,1139.24
1024,1000,0.47,2194.51
2048,1000,0.62,3316.34
4096,1000,0.88,4654.16
8192,1000,1.45,5648.66
16384,1000,2.39,6850.16
32768,1000,3.58,9141.48
65536,640,5.74,11410.36
131072,320,8.72,15031.94
262144,160,15.11,17352.21
524288,80,41.96,12495.89
1048576,40,82.48,12712.37
2097152,20,157.67,13300.65
4194304,10,444.04,9445.88
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.24,4.24
2,1000,0.24,8.46
4,1000,0.24,16.95
8,1000,0.24,33.87
16,1000,0.24,67.51
32,1000,0.25,129.97
64,1000,0.25,258.78
128,1000,0.26,487.25
256,1000,0.29,879.59
512,1000,0.42,1210.73
1024,1000,0.46,2233.89
2048,1000,0.60,3394.48
4096,1000,0.85,4816.50
8192,1000,1.43,5724.40
16384,1000,2.39,6857.33
32768,1000,3.60,9105.37
65536,640,5.74,11419.63
131072,320,8.68,15103.89
262144,160,15.07,17397.93
524288,80,41.64,12590.68
1048576,40,82.34,12734.70
2097152,20,156.61,13390.74
4194304,10,436.10,9617.79
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.24,4.13
2,1000,0.24,8.26
4,1000,0.24,16.58
8,1000,0.24,33.12
16,1000,0.24,66.02
32,1000,0.25,127.21
64,1000,0.25,251.84
128,1000,0.26,484.12
256,1000,0.29,892.02
512,1000,0.45,1139.08
1024,1000,0.46,2246.16
2048,1000,0.60,3397.37
4096,1000,0.87,4730.77
8192,1000,1.41,5790.33
16384,1000,2.35,6969.27
32768,1000,3.53,9295.85
65536,640,5.74,11412.54
131072,320,8.72,15031.36
262144,160,15.18,17266.15
524288,80,41.08,12762.37
1048576,40,82.67,12684.48
2097152,20,157.39,13324.26
4194304,10,427.92,9801.53
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.24,4.25
2,1000,0.24,8.48
4,1000,0.24,16.97
8,1000,0.24,33.99
16,1000,0.24,67.73
32,1000,0.25,130.20
64,1000,0.25,256.47
128,1000,0.26,484.09
256,1000,0.29,886.45
512,1000,0.45,1143.72
1024,1000,0.47,2201.93
2048,1000,0.60,3404.17
4096,1000,0.87,4698.61
8192,1000,1.42,5773.67
16384,1000,2.40,6838.33
32768,1000,3.58,9163.29
65536,640,5.85,11202.79
131072,320,8.74,14993.67
262144,160,15.11,17353.65
524288,80,41.74,12559.39
1048576,40,82.39,12726.71
2097152,20,156.68,13384.90
4194304,10,436.16,9616.54
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.24,4.18
2,1000,0.24,8.35
4,1000,0.24,16.41
8,1000,0.24,33.35
16,1000,0.24,66.45
32,1000,0.25,128.48
64,1000,0.25,251.69
128,1000,0.26,484.79
256,1000,0.29,883.51
512,1000,0.42,1206.65
1024,1000,0.45,2279.25
2048,1000,0.60,3409.68
4096,1000,0.86,4772.19
8192,1000,1.46,5617.33
16384,1000,2.39,6861.78
32768,1000,3.55,9233.10
65536,640,5.79,11313.38
131072,320,8.70,15057.63
262144,160,15.17,17283.01
524288,80,42.03,12473.47
1048576,40,82.56,12700.89
2097152,20,156.62,13389.67
4194304,10,427.52,9810.75
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.24,4.18
2,1000,0.24,8.25
4,1000,0.24,16.73
8,1000,0.24,33.02
16,1000,0.24,66.58
32,1000,0.25,129.17
64,1000,0.25,256.57
128,1000,0.26,484.63
256,1000,0.29,891.34
512,1000,0.42,1216.54
1024,1000,0.46,2218.87
2048,1000,0.59,3449.51
4096,1000,0.85,4803.63
8192,1000,1.43,5748.61
16384,1000,2.35,6971.66
32768,1000,3.51,9325.77
65536,640,5.73,11444.54
131072,320,8.73,15020.63
262144,160,15.09,17376.42
524288,80,41.29,12699.06
1048576,40,82.93,12643.42
2097152,20,157.18,13342.12
4194304,10,425.91,9847.86
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.24,4.25
2,1000,0.24,8.47
4,1000,0.24,16.98
8,1000,0.24,33.94
16,1000,0.24,67.49
32,1000,0.25,129.48
64,1000,0.25,257.28
128,1000,0.26,483.31
256,1000,0.29,889.05
512,1000,0.43,1184.22
1024,1000,0.46,2246.73
2048,1000,0.61,3361.93
4096,1000,0.87,4684.59
8192,1000,1.42,5772.88
16384,1000,2.34,6987.68
32768,1000,3.50,9364.59
65536,640,5.80,11293.18
131072,320,8.71,15050.71
262144,160,15.36,17063.59
524288,80,41.52,12627.75
1048576,40,82.93,12643.39
2097152,20,159.29,13165.79
4194304,10,425.80,9850.48
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.24,4.14
2,1000,0.24,8.24
4,1000,0.24,16.49
8,1000,0.25,32.46
16,1000,0.24,65.94
32,1000,0.25,127.77
64,1000,0.25,255.28
128,1000,0.27,476.74
256,1000,0.29,893.80
512,1000,0.45,1132.29
1024,1000,0.45,2264.83
2048,1000,0.61,3362.01
4096,1000,0.86,4787.79
8192,1000,1.42,5752.52
16384,1000,2.34,6992.79
32768,1000,3.46,9471.23
65536,640,5.81,11275.26
131072,320,8.70,15058.94
262144,160,15.24,17197.56
524288,80,40.98,12794.07
1048576,40,82.62,12691.02
2097152,20,156.56,13395.58
4194304,10,441.83,9492.97
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.24,4.25
2,1000,0.24,8.49
4,1000,0.24,16.97
8,1000,0.24,34.01
16,1000,0.24,67.66
32,1000,0.24,130.65
64,1000,0.25,259.50
128,1000,0.26,486.53
256,1000,0.29,894.53
512,1000,0.42,1211.61
1024,1000,0.47,2197.56
2048,1000,0.60,3394.33
4096,1000,0.89,4601.18
8192,1000,1.43,5740.89
16384,1000,2.36,6939.88
32768,1000,3.52,9297.70
65536,640,5.76,11373.98
131072,320,8.77,14943.16
262144,160,15.12,17334.34
524288,80,41.63,12593.76
1048576,40,82.48,12712.80
2097152,20,156.84,13371.05
4194304,10,438.28,9569.82
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.24,4.25
2,1000,0.24,8.47
4,1000,0.24,16.97
8,1000,0.24,33.96
16,1000,0.24,67.53
32,1000,0.25,130.20
64,1000,0.25,259.86
128,1000,0.27,481.86
256,1000,0.29,883.90
512,1000,0.42,1220.15
1024,1000,0.45,2300.41
2048,1000,0.60,3399.60
4096,1000,0.86,4748.69
8192,1000,1.42,5765.15
16384,1000,2.33,7035.90
32768,1000,3.53,9287.45
65536,640,5.80,11303.48
131072,320,8.72,15036.36
262144,160,15.14,17311.68
524288,80,41.90,12512.01
1048576,40,82.60,12694.06
2097152,20,157.13,13346.97
4194304,10,437.93,9577.65
8388608,5,1112.003,7544.353
16777216,2,2429.932,6904.582
33554432,1,5912.753,5674.946
67108864,1,11824.385,5675.465
134217728,1,24122.296,5564.068
268435456,1,50063.52,5361.903
