#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.91,0.00
1,1000,5.00,0.20
2,1000,4.99,0.40
4,1000,5.00,0.80
8,1000,4.99,1.60
16,1000,5.00,3.20
32,1000,4.98,6.42
64,1000,5.00,12.80
128,1000,5.06,25.29
256,1000,5.10,50.20
512,1000,5.12,99.97
1024,1000,5.66,180.88
2048,1000,5.54,369.48
4096,1000,6.35,644.85
8192,1000,6.84,1197.47
16384,1000,8.93,1833.69
32768,1000,14.40,2275.26
65536,640,28.17,2326.39
131072,320,40.45,3240.69
262144,160,56.36,4650.95
524288,80,88.13,5948.75
1048576,40,148.86,7043.85
2097152,20,285.72,7339.81
4194304,10,589.50,7115.03
8388608,5,1453.90,5769.73
16777216,2,3164.80,5301.19
33554432,1,6372.01,5265.91
67108864,1,12671.08,5296.22
134217728,1,25282.63,5308.69
268435456,1,50244.92,5342.54
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.90,0.00
1,1000,4.97,0.20
2,1000,4.96,0.40
4,1000,4.96,0.81
8,1000,4.95,1.61
16,1000,4.94,3.24
32,1000,4.96,6.45
64,1000,4.97,12.88
128,1000,5.04,25.38
256,1000,5.07,50.51
512,1000,5.09,100.53
1024,1000,5.67,180.71
2048,1000,5.50,372.51
4096,1000,6.37,642.52
8192,1000,6.78,1208.39
16384,1000,8.94,1832.54
32768,1000,14.36,2281.35
65536,640,28.11,2331.39
131072,320,40.20,3260.75
262144,160,56.73,4620.94
524288,80,88.27,5939.89
1048576,40,148.60,7056.27
2097152,20,285.43,7347.22
4194304,10,592.16,7083.06
8388608,5,1456.81,5758.19
16777216,2,3163.26,5303.78
33554432,1,6334.23,5297.32
67108864,1,12670.28,5296.56
134217728,1,25242.61,5317.11
268435456,1,50129.45,5354.85
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.86,0.00
1,1000,4.96,0.20
2,1000,4.97,0.40
4,1000,4.98,0.80
8,1000,4.99,1.60
16,1000,5.00,3.20
32,1000,5.00,6.40
64,1000,5.01,12.78
128,1000,5.09,25.15
256,1000,5.14,49.78
512,1000,5.17,98.95
1024,1000,5.72,178.97
2048,1000,5.52,370.83
4096,1000,6.37,643.00
8192,1000,6.87,1192.99
16384,1000,8.95,1829.61
32768,1000,14.44,2269.61
65536,640,28.40,2307.30
131072,320,40.62,3227.02
262144,160,56.65,4627.24
524288,80,88.58,5918.53
1048576,40,148.63,7054.86
2097152,20,286.93,7308.97
4194304,10,585.89,7158.91
8388608,5,1459.56,5747.35
16777216,2,3164.66,5301.43
33554432,1,6355.82,5279.32
67108864,1,12686.18,5289.92
134217728,1,25273.45,5310.62
268435456,1,50219.48,5345.25
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.93,0.00
1,1000,5.02,0.20
2,1000,5.01,0.40
4,1000,5.01,0.80
8,1000,5.01,1.60
16,1000,5.01,3.20
32,1000,5.02,6.38
64,1000,5.02,12.75
128,1000,5.08,25.21
256,1000,5.12,50.03
512,1000,5.14,99.53
1024,1000,5.64,181.55
2048,1000,5.52,370.71
4096,1000,6.36,644.31
8192,1000,6.83,1198.81
16384,1000,8.91,1838.10
32768,1000,14.38,2278.52
65536,640,28.21,2323.11
131072,320,40.16,3263.57
262144,160,56.98,4600.84
524288,80,88.44,5928.01
1048576,40,148.96,7039.13
2097152,20,284.87,7361.81
4194304,10,593.10,7071.82
8388608,5,1474.55,5688.92
16777216,2,3180.77,5274.57
33554432,1,6370.37,5267.27
67108864,1,12672.99,5295.42
134217728,1,25316.03,5301.69
268435456,1,50158.27,5351.77
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.89,0.00
1,1000,4.98,0.20
2,1000,4.99,0.40
4,1000,4.98,0.80
8,1000,4.98,1.61
16,1000,4.99,3.21
32,1000,4.99,6.41
64,1000,4.99,12.83
128,1000,5.08,25.18
256,1000,5.12,50.00
512,1000,5.15,99.34
1024,1000,5.70,179.63
2048,1000,5.49,372.94
4096,1000,6.35,645.53
8192,1000,6.82,1201.97
16384,1000,8.94,1832.44
32768,1000,14.39,2276.79
65536,640,28.25,2319.53
131072,320,40.70,3220.67
262144,160,56.71,4622.18
524288,80,88.26,5940.35
1048576,40,149.03,7035.94
2097152,20,286.05,7331.50
4194304,10,590.84,7098.83
8388608,5,1459.92,5745.92
16777216,2,3166.38,5298.54
33554432,1,6351.26,5283.12
67108864,1,12681.44,5291.90
134217728,1,25275.56,5310.18
268435456,1,50231.68,5343.95
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.87,0.00
1,1000,4.91,0.20
2,1000,4.93,0.41
4,1000,4.90,0.82
8,1000,4.92,1.63
16,1000,4.92,3.25
32,1000,4.93,6.49
64,1000,4.96,12.91
128,1000,5.02,25.49
256,1000,5.07,50.46
512,1000,5.11,100.14
1024,1000,5.70,179.81
2048,1000,5.47,374.70
4096,1000,6.37,642.84
8192,1000,6.75,1212.97
16384,1000,8.86,1848.81
32768,1000,14.35,2283.90
65536,640,28.25,2319.50
131072,320,40.25,3256.76
262144,160,56.66,4626.56
524288,80,88.28,5938.99
1048576,40,148.64,7054.69
2097152,20,284.21,7379.01
4194304,10,588.37,7128.70
8388608,5,1463.08,5733.52
16777216,2,3164.76,5301.26
33554432,1,6343.10,5289.91
67108864,1,12674.21,5294.91
134217728,1,25235.17,5318.68
268435456,1,50060.31,5362.24
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.80,0.00
1,1000,4.90,0.20
2,1000,4.90,0.41
4,1000,4.89,0.82
8,1000,4.88,1.64
16,1000,4.91,3.26
32,1000,4.91,6.52
64,1000,4.91,13.03
128,1000,4.99,25.64
256,1000,5.03,50.94
512,1000,5.08,100.79
1024,1000,5.66,180.90
2048,1000,5.48,373.60
4096,1000,6.34,646.28
8192,1000,6.76,1211.74
16384,1000,8.95,1830.61
32768,1000,14.35,2283.02
