#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.29,3.41
2,1000,0.29,6.84
4,1000,0.30,13.55
8,1000,0.29,27.35
16,1000,0.30,53.23
32,1000,0.30,106.13
64,1000,0.32,198.99
128,1000,0.38,335.89
256,1000,0.45,562.70
512,1000,0.65,787.90
1024,1000,0.76,1351.58
2048,1000,0.88,2340.29
4096,1000,1.85,2209.12
8192,1000,2.09,3916.33
16384,1000,2.50,6561.25
32768,1000,3.37,9717.82
65536,640,5.09,12877.69
131072,320,7.86,16672.17
262144,160,14.69,17851.02
524288,80,31.28,16761.45
1048576,40,83.63,12537.68
2097152,20,200.56,10456.45
4194304,10,435.31,9635.22
8388608,5,1474.88,5687.64
16777216,2,3689.99,4546.68
33554432,1,7498.53,4474.80
67108864,1,14990.45,4476.78
134217728,1,29898.01,4489.19
268435456,1,59742.32,4493.22
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.30,3.37
2,1000,0.30,6.75
4,1000,0.30,13.48
8,1000,0.29,27.12
16,1000,0.31,51.72
32,1000,0.30,107.57
64,1000,0.32,197.74
128,1000,0.38,332.79
256,1000,0.44,579.88
512,1000,0.66,771.62
1024,1000,0.72,1428.98
2048,1000,0.91,2244.19
4096,1000,1.81,2265.80
8192,1000,2.03,4025.75
16384,1000,2.46,6664.43
32768,1000,3.97,8259.61
65536,640,4.66,14060.05
131072,320,8.34,15713.01
262144,160,14.74,17783.64
524288,80,31.11,16852.68
1048576,40,83.10,12618.29
2097152,20,200.73,10447.70
4194304,10,435.44,9632.24
8388608,5,1509.32,5557.89
16777216,2,3741.61,4483.95
33554432,1,7532.58,4454.57
67108864,1,14954.32,4487.59
134217728,1,29882.58,4491.50
268435456,1,59669.24,4498.72
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.29,3.47
2,1000,0.29,6.95
4,1000,0.29,13.75
8,1000,0.29,27.52
16,1000,0.30,53.04
32,1000,0.30,107.73
64,1000,0.33,195.65
128,1000,0.38,340.24
256,1000,0.45,567.01
512,1000,0.68,756.52
1024,1000,0.76,1355.20
2048,1000,0.88,2334.41
4096,1000,1.79,2287.31
8192,1000,2.10,3903.90
16384,1000,2.51,6536.52
32768,1000,3.42,9590.84
65536,640,4.69,13971.61
131072,320,8.34,15723.96
262144,160,14.68,17858.75
524288,80,31.10,16855.79
1048576,40,83.81,12510.73
2097152,20,200.14,10478.52
4194304,10,433.56,9674.21
8388608,5,1489.66,5631.23
16777216,2,3738.33,4487.89
33554432,1,7525.10,4459.00
67108864,1,14940.32,4491.80
134217728,1,29911.34,4487.19
268435456,1,59664.43,4499.09
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.29,3.44
2,1000,0.30,6.76
4,1000,0.29,13.65
8,1000,0.29,27.63
16,1000,0.30,53.84
32,1000,0.31,101.95
64,1000,0.32,200.64
128,1000,0.37,342.11
256,1000,0.45,567.46
512,1000,0.65,785.92
1024,1000,0.74,1391.23
2048,1000,0.88,2322.66
4096,1000,1.79,2286.76
8192,1000,2.15,3814.80
16384,1000,2.51,6531.72
32768,1000,3.36,9746.53
65536,640,4.73,13868.71
131072,320,8.15,16090.28
262144,160,14.65,17899.12
524288,80,31.22,16793.11
1048576,40,83.57,12546.71
2097152,20,202.71,10345.72
4194304,10,430.80,9735.97
8388608,5,1483.84,5653.32
16777216,2,3719.53,4510.58
33554432,1,7458.25,4498.97
67108864,1,14931.74,4494.38
134217728,1,29794.45,4504.79
268435456,1,59621.25,4502.35
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.30,3.38
2,1000,0.29,6.84
4,1000,0.29,13.72
8,1000,0.30,27.08
16,1000,0.31,51.31
32,1000,0.29,109.65
64,1000,0.33,195.95
128,1000,0.38,334.67
256,1000,0.44,577.89
512,1000,0.66,777.72
1024,1000,0.75,1362.56
2048,1000,0.88,2331.34
4096,1000,1.84,2228.53
8192,1000,2.09,3914.93
16384,1000,2.52,6489.57
32768,1000,3.53,9286.57
65536,640,5.06,12942.77
131072,320,7.83,16744.72
262144,160,14.55,18020.83
524288,80,31.18,16814.42
1048576,40,83.46,12563.75
2097152,20,198.44,10568.11
4194304,10,428.94,9778.38
8388608,5,1503.58,5579.08
16777216,2,3732.90,4494.42
33554432,1,7511.98,4466.79
67108864,1,15043.57,4460.97
134217728,1,29888.53,4490.61
268435456,1,59668.11,4498.81
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.30,3.36
2,1000,0.30,6.73
4,1000,0.30,13.37
8,1000,0.30,26.41
16,1000,0.30,52.63
32,1000,0.30,105.88
64,1000,0.34,190.14
128,1000,0.39,331.19
256,1000,0.44,583.01
512,1000,0.70,733.74
1024,1000,0.76,1351.66
2048,1000,0.90,2273.03
4096,1000,1.80,2279.65
8192,1000,2.11,3885.08
16384,1000,2.60,6293.00
32768,1000,3.36,9765.68
65536,640,4.98,13170.19
131072,320,7.89,16616.55
262144,160,14.66,17880.04
524288,80,30.72,17066.87
1048576,40,82.63,12689.86
2097152,20,192.67,10884.68
4194304,10,435.04,9641.13
8388608,5,1515.83,5533.99
16777216,2,3728.13,4500.16
33554432,1,7480.49,4485.60
67108864,1,14940.58,4491.72
134217728,1,29841.98,4497.61
268435456,1,59591.05,4504.63
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.30,3.36
2,1000,0.30,6.76
4,1000,0.30,13.46
8,1000,0.30,26.98
16,1000,0.30,52.73
32,1000,0.30,107.26
64,1000,0.33,192.07
128,1000,0.38,335.59
256,1000,0.45,568.77
512,1000,0.67,761.13
1024,1000,0.76,1354.57
2048,1000,0.90,2275.22
4096,1000,1.84,2224.63
8192,1000,2.04,4012.49
16384,1000,2.54,6452.44
32768,1000,3.52,9319.06
65536,640,5.08,12899.86
131072,320,8.56,15309.03
262144,160,14.66,17877.87
524288,80,31.16,16823.78
1048576,40,83.93,12493.88
2097152,20,200.44,10462.61
4194304,10,431.81,9713.33
8388608,5,1511.04,5551.53
16777216,2,3726.03,4502.70
33554432,1,7507.07,4469.71
67108864,1,14943.82,4490.74
134217728,1,29892.24,4490.05
268435456,1,59699.47,4496.45
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.29,3.49
2,1000,0.29,6.96
4,1000,0.29,13.86
8,1000,0.29,27.62
16,1000,0.29,54.25
32,1000,0.30,107.07
64,1000,0.33,192.54
128,1000,0.37,345.87
256,1000,0.44,581.23
512,1000,0.67,768.02
1024,1000,0.72,1421.47
2048,1000,0.86,2372.03
4096,1000,1.86,2206.88
8192,1000,2.14,3820.25
16384,1000,2.52,6499.77
32768,1000,3.42,9578.61
65536,640,4.77,13752.98
131072,320,8.26,15870.78
262144,160,14.82,17691.56
524288,80,31.72,16527.24
1048576,40,83.67,12532.65
2097152,20,198.88,10544.67
4194304,10,426.04,9844.80
8388608,5,1493.95,5615.04
16777216,2,3717.89,4512.57
33554432,1,7515.59,4464.65
67108864,1,15003.44,4472.90
134217728,1,29876.62,4492.40
268435456,1,59653.13,4499.94
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.30,3.37
2,1000,0.30,6.77
4,1000,0.30,13.50
8,1000,0.30,26.85
16,1000,0.30,53.75
32,1000,0.30,106.59
64,1000,0.33,196.39
128,1000,0.38,338.50
256,1000,0.46,559.64
512,1000,0.66,772.78
1024,1000,0.74,1389.87
2048,1000,0.89,2308.20
4096,1000,1.80,2277.98
8192,1000,2.10,3901.43
16384,1000,2.47,6627.71
32768,1000,3.36,9754.02
65536,640,4.71,13928.14
131072,320,8.36,15671.34
262144,160,14.72,17813.94
524288,80,31.49,16651.45
1048576,40,83.96,12489.26
2097152,20,202.89,10336.33
4194304,10,432.05,9707.92
8388608,5,1514.03,5540.58
16777216,2,3731.28,4496.37
33554432,1,7489.09,4480.44
67108864,1,14968.26,4483.41
134217728,1,29857.38,4495.29
268435456,1,59762.91,4491.67
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.29,3.42
2,1000,0.29,6.87
4,1000,0.29,13.66
8,1000,0.29,27.53
16,1000,0.30,53.32
32,1000,0.29,108.76
64,1000,0.33,196.02
128,1000,0.38,336.69
256,1000,0.44,575.30
512,1000,0.65,785.13
1024,1000,0.75,1370.92
2048,1000,0.93,2196.14
4096,1000,1.79,2290.09
8192,1000,2.05,3999.52
16384,1000,2.52,6506.60
32768,1000,3.51,9328.06
65536,640,5.08,12911.58
131072,320,7.89,16618.36
262144,160,14.66,17880.44
524288,80,30.90,16968.21
1048576,40,84.07,12472.79
2097152,20,200.24,10473.04
4194304,10,434.78,9646.91
8388608,5,1486.93,5641.55
16777216,2,3691.90,4544.33
33554432,1,7507.27,4469.59
67108864,1,14958.74,4486.26
134217728,1,29840.92,4497.77
268435456,1,59652.20,4500.01
