#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.05,0.00
1,1000,1.05,0.96
2,1000,1.06,1.88
4,1000,1.06,3.78
8,1000,1.05,7.62
16,1000,1.05,15.21
32,1000,1.06,30.09
64,1000,1.18,54.46
128,1000,1.24,103.47
256,1000,1.47,174.24
512,1000,1.54,331.66
1024,1000,1.69,606.64
2048,1000,2.27,900.62
4096,1000,2.98,1375.05
8192,1000,3.91,2092.71
16384,1000,5.63,2912.13
32768,1000,9.15,3581.95
65536,640,12.24,5353.50
131072,320,21.70,6039.99
262144,160,32.17,8147.72
524288,80,54.39,9639.21
1048576,40,96.69,10844.74
2097152,20,181.18,11574.66
4194304,10,351.82,11921.84
8388608,5,695.60,12059.58
16777216,2,1380.02,12157.23
33554432,1,2759.20,12160.91
67108864,1,5486.62,12231.36
134217728,1,11002.98,12198.30
268435456,1,21967.61,12219.60
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.21,0.00
1,1000,1.22,0.82
2,1000,1.22,1.64
4,1000,1.21,3.30
8,1000,1.22,6.58
16,1000,1.22,13.16
32,1000,1.24,25.76
64,1000,1.48,43.13
128,1000,1.54,83.17
256,1000,1.81,141.61
512,1000,1.89,270.80
1024,1000,2.10,488.40
2048,1000,2.84,721.98
4096,1000,3.63,1129.26
8192,1000,4.66,1758.10
16384,1000,6.40,2561.50
32768,1000,9.81,3339.87
65536,640,13.02,5033.47
131072,320,22.30,5876.74
262144,160,32.99,7945.53
524288,80,54.27,9661.26
1048576,40,98.57,10637.98
2097152,20,183.21,11446.71
4194304,10,355.40,11801.72
8388608,5,698.96,12001.64
16777216,2,1386.84,12097.42
33554432,1,2750.85,12197.86
67108864,1,5498.83,12204.22
134217728,1,10991.79,12210.72
268435456,1,21846.92,12287.11
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.06,0.00
1,1000,1.04,0.96
2,1000,1.06,1.89
4,1000,1.05,3.80
8,1000,1.05,7.65
16,1000,1.05,15.22
32,1000,1.06,30.06
64,1000,1.18,54.32
128,1000,1.23,103.94
256,1000,1.46,174.97
512,1000,1.54,332.26
1024,1000,1.68,607.95
2048,1000,2.26,904.69
4096,1000,3.01,1360.79
8192,1000,3.97,2063.32
16384,1000,5.68,2882.94
32768,1000,9.47,3460.32
65536,640,12.53,5230.05
131072,320,21.33,6144.89
262144,160,32.40,8090.34
524288,80,57.99,9041.06
1048576,40,97.62,10740.95
2097152,20,181.70,11541.73
4194304,10,352.15,11910.72
8388608,5,693.47,12096.55
16777216,2,1379.21,12164.35
33554432,1,2742.48,12235.07
67108864,1,5503.26,12194.38
134217728,1,10970.83,12234.05
268435456,1,21988.32,12208.09
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.12,0.00
1,1000,1.13,0.89
2,1000,1.12,1.79
4,1000,1.11,3.59
8,1000,1.11,7.19
16,1000,1.11,14.36
32,1000,1.13,28.28
64,1000,1.31,48.87
128,1000,1.38,93.06
256,1000,1.63,157.51
512,1000,1.70,301.06
1024,1000,1.88,545.92
2048,1000,2.56,799.50
4096,1000,3.40,1205.80
8192,1000,4.31,1898.58
16384,1000,6.02,2719.46
32768,1000,9.65,3393.90
