#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.35,0.00
1,1000,15.53,0.06
2,1000,15.48,0.13
4,1000,15.53,0.26
8,1000,15.52,0.52
16,1000,15.66,1.02
32,1000,15.60,2.05
64,1000,15.57,4.11
128,1000,15.73,8.14
256,1000,16.08,15.92
512,1000,16.40,31.23
1024,1000,16.92,60.52
2048,1000,38.71,52.91
4096,1000,39.02,104.98
8192,1000,40.10,204.31
16384,1000,41.85,391.53
32768,1000,48.51,675.46
65536,640,60.47,1083.69
131072,320,112.20,1168.19
262144,160,152.89,1714.57
524288,80,238.00,2202.93
1048576,40,399.27,2626.22
2097152,20,776.30,2701.48
4194304,10,1661.20,2524.87
8388608,5,3729.01,2249.55
16777216,2,7533.01,2227.16
33554432,1,15482.07,2167.31
67108864,1,30211.97,2221.27
134217728,1,59696.55,2248.33
268435456,1,115955.95,2314.98
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,14.91,0.00
1,1000,15.06,0.07
2,1000,15.05,0.13
4,1000,15.05,0.27
8,1000,15.09,0.53
16,1000,15.13,1.06
32,1000,15.17,2.11
64,1000,15.23,4.20
128,1000,15.46,8.28
256,1000,15.38,16.64
512,1000,15.98,32.04
1024,1000,16.15,63.41
2048,1000,37.81,54.17
4096,1000,38.42,106.62
8192,1000,39.19,209.02
16384,1000,41.28,396.89
32768,1000,45.42,721.45
65536,640,60.37,1085.54
131072,320,99.00,1323.93
262144,160,151.55,1729.70
524288,80,226.67,2313.00
1048576,40,356.77,2939.11
2097152,20,638.65,3283.73
4194304,10,1347.14,3113.48
8388608,5,3003.38,2793.06
16777216,2,6236.67,2690.09
33554432,1,12722.64,2637.38
67108864,1,25293.33,2653.22
134217728,1,49515.18,2710.64
268435456,1,97437.06,2754.96
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.15,0.00
1,1000,16.16,0.06
2,1000,16.10,0.12
4,1000,16.18,0.25
8,1000,16.10,0.50
16,1000,16.05,1.00
32,1000,16.16,1.98
64,1000,16.10,3.98
128,1000,16.84,7.60
256,1000,16.95,15.10
512,1000,17.11,29.93
1024,1000,17.64,58.06
2048,1000,39.47,51.89
4096,1000,40.00,102.41
8192,1000,41.13,199.19
16384,1000,43.37,377.76
32768,1000,50.49,648.99
65536,640,63.77,1027.63
131072,320,121.36,1080.05
262144,160,154.16,1700.51
524288,80,240.95,2175.93
1048576,40,371.39,2823.37
2097152,20,696.83,3009.55
4194304,10,1474.01,2845.50
8388608,5,2981.25,2813.79
16777216,2,6051.79,2772.27
33554432,1,12053.41,2783.81
67108864,1,23729.04,2828.13
134217728,1,46651.47,2877.03
268435456,1,91925.52,2920.14
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.73,0.00
1,1000,15.84,0.06
2,1000,15.88,0.13
4,1000,15.93,0.25
8,1000,15.87,0.50
16,1000,15.92,1.00
32,1000,15.95,2.01
64,1000,16.02,3.99
128,1000,15.88,8.06
256,1000,16.20,15.80
512,1000,16.87,30.35
1024,1000,17.17,59.64
2048,1000,38.60,53.05
4096,1000,39.13,104.68
8192,1000,40.21,203.71
16384,1000,42.02,389.91
32768,1000,47.50,689.86
65536,640,58.65,1117.38
131072,320,114.64,1143.37
262144,160,170.31,1539.22
524288,80,262.88,1994.38
1048576,40,431.13,2432.16
2097152,20,782.34,2680.61
4194304,10,1624.69,2581.60
8388608,5,3565.27,2352.87
16777216,2,7279.15,2304.83
33554432,1,14767.77,2272.14
67108864,1,28660.25,2341.53
134217728,1,56579.14,2372.21
268435456,1,113098.31,2373.47
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.41,0.00
1,1000,15.56,0.06
2,1000,15.57,0.13
4,1000,15.61,0.26
8,1000,15.61,0.51
16,1000,15.62,1.02
32,1000,15.66,2.04
64,1000,15.70,4.08
128,1000,15.86,8.07
256,1000,16.17,15.83
512,1000,16.58,30.88
1024,1000,16.94,60.45
2048,1000,38.72,52.89
4096,1000,38.99,105.04
8192,1000,39.97,204.96
16384,1000,41.79,392.06
32768,1000,48.62,673.94
65536,640,59.88,1094.45
131072,320,112.05,1169.76
262144,160,153.88,1703.54
524288,80,229.02,2289.28
1048576,40,356.84,2938.47
2097152,20,648.81,3232.32
4194304,10,1367.62,3066.86
8388608,5,3031.37,2767.27
16777216,2,6154.56,2725.98
33554432,1,12262.75,2736.29
67108864,1,24091.55,2785.58
134217728,1,47931.80,2800.18
268435456,1,94531.69,2839.63
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.14,0.00
1,1000,15.33,0.07
2,1000,15.34,0.13
4,1000,15.31,0.26
8,1000,15.36,0.52
16,1000,15.35,1.04
32,1000,15.42,2.08
64,1000,15.47,4.14
128,1000,15.51,8.25
256,1000,15.75,16.25
512,1000,16.20,31.60
1024,1000,16.56,61.82
2048,1000,38.41,53.32
4096,1000,38.77,105.66
8192,1000,39.60,206.89
16384,1000,41.42,395.54
32768,1000,46.99,697.32
65536,640,58.52,1119.93
131072,320,108.46,1208.50
262144,160,151.03,1735.71
524288,80,230.15,2278.02
1048576,40,361.64,2899.52
2097152,20,652.33,3214.86
4194304,10,1359.23,3085.79
8388608,5,3027.25,2771.03
16777216,2,6151.82,2727.19
33554432,1,12359.57,2714.85
67108864,1,24042.05,2791.31
134217728,1,48732.17,2754.19
268435456,1,94473.81,2841.37
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.01,0.00
1,1000,16.19,0.06
2,1000,16.16,0.12
4,1000,16.14,0.25
8,1000,16.17,0.49
16,1000,16.23,0.99
32,1000,16.25,1.97
64,1000,16.23,3.94
128,1000,16.46,7.78
256,1000,16.75,15.28
512,1000,17.27,29.65
1024,1000,17.62,58.12
2048,1000,39.21,52.23
4096,1000,39.76,103.03
8192,1000,40.98,199.89
16384,1000,43.19,379.37
32768,1000,49.81,657.87
65536,640,62.59,1047.07
131072,320,123.34,1062.67
262144,160,153.18,1711.38
524288,80,233.08,2249.38
1048576,40,371.05,2825.95
2097152,20,694.06,3021.58
4194304,10,1456.47,2879.77
8388608,5,2958.16,2835.75
16777216,2,6120.47,2741.17
33554432,1,12115.92,2769.45
67108864,1,23715.15,2829.79
134217728,1,46695.47,2874.32
268435456,1,91100.46,2946.59
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.34,0.00
1,1000,15.48,0.06
2,1000,15.50,0.13
4,1000,15.49,0.26
8,1000,15.52,0.52
16,1000,15.56,1.03
32,1000,15.57,2.06
64,1000,15.70,4.08
128,1000,15.92,8.04
256,1000,15.98,16.02
512,1000,16.62,30.81
1024,1000,16.80,60.94
2048,1000,38.66,52.98
4096,1000,38.88,105.36
8192,1000,40.06,204.48
16384,1000,41.89,391.13
32768,1000,47.18,694.46
65536,640,58.26,1124.85
131072,320,112.82,1161.82
262144,160,169.48,1546.72
524288,80,266.93,1964.14
1048576,40,433.03,2421.51
2097152,20,784.15,2674.42
4194304,10,1623.49,2583.51
8388608,5,3626.73,2313.00
16777216,2,7296.09,2299.48
33554432,1,14433.73,2324.72
67108864,1,28690.50,2339.06
134217728,1,56881.24,2359.61
268435456,1,113252.11,2370.25
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.62,0.00
1,1000,15.81,0.06
2,1000,15.89,0.13
4,1000,15.83,0.25
8,1000,15.86,0.50
16,1000,15.95,1.00
32,1000,15.93,2.01
64,1000,15.85,4.04
128,1000,15.77,8.12
256,1000,16.25,15.75
512,1000,16.74,30.58
1024,1000,17.27,59.29
2048,1000,38.47,53.24
4096,1000,39.09,104.79
8192,1000,40.08,204.42
16384,1000,42.19,388.31
32768,1000,47.25,693.47
65536,640,61.83,1060.02
131072,320,115.71,1132.72
262144,160,172.73,1517.63
524288,80,265.35,1975.84
1048576,40,426.97,2455.88
2097152,20,780.56,2686.72
4194304,10,1633.69,2567.38
8388608,5,3600.04,2330.15
16777216,2,7314.10,2293.82
33554432,1,13824.61,2427.15
67108864,1,28290.11,2372.17
134217728,1,57139.64,2348.94
268435456,1,114133.20,2351.95
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,15.13,0.00
1,1000,15.25,0.07
2,1000,15.24,0.13
4,1000,15.26,0.26
8,1000,15.26,0.52
16,1000,15.37,1.04
32,1000,15.39,2.08
64,1000,15.45,4.14
128,1000,15.63,8.19
256,1000,15.69,16.32
512,1000,16.22,31.57
1024,1000,16.39,62.47
2048,1000,38.47,53.24
4096,1000,38.55,106.24
8192,1000,39.69,206.40
16384,1000,41.37,396.08
32768,1000,46.24,708.70
65536,640,60.82,1077.46
