#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.01,0.00
1,1000,16.03,0.06
2,1000,15.96,0.13
4,1000,15.98,0.25
8,1000,15.99,0.50
16,1000,16.02,1.00
32,1000,16.04,1.99
64,1000,16.09,3.98
128,1000,16.65,7.69
256,1000,16.80,15.23
512,1000,16.94,30.22
1024,1000,17.42,58.79
2048,1000,40.30,50.82
4096,1000,41.20,99.42
8192,1000,66.10,123.94
16384,1000,49.03,334.14
32768,1000,98.07,334.14
65536,640,101.53,645.46
131072,320,127.02,1031.92
262144,160,233.96,1120.47
524288,80,328.47,1596.14
1048576,40,516.13,2031.62
2097152,20,896.52,2339.21
4194304,10,1740.93,2409.23
8388608,5,3571.77,2348.58
16777216,2,6986.58,2401.35
33554432,1,13917.08,2411.03
67108864,1,28572.37,2348.73
134217728,1,56063.51,2394.03
268435456,1,112251.60,2391.37
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,17.66,0.00
1,1000,17.73,0.06
2,1000,17.77,0.11
4,1000,17.67,0.23
8,1000,17.71,0.45
16,1000,17.73,0.90
32,1000,17.74,1.80
64,1000,17.82,3.59
128,1000,18.49,6.92
256,1000,18.69,13.70
512,1000,18.96,27.00
1024,1000,19.45,52.64
2048,1000,41.88,48.90
4096,1000,42.84,95.61
8192,1000,72.99,112.23
16384,1000,51.82,316.17
32768,1000,103.17,317.60
65536,640,110.30,594.16
131072,320,142.71,918.45
262144,160,258.39,1014.54
524288,80,358.84,1461.07
1048576,40,551.42,1901.60
2097152,20,970.56,2160.77
4194304,10,1965.16,2134.33
8388608,5,4177.98,2007.81
16777216,2,8187.42,2049.15
33554432,1,16365.87,2050.27
67108864,1,32264.29,2079.97
134217728,1,64548.44,2079.33
268435456,1,128626.05,2086.94
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.34,0.00
1,1000,16.33,0.06
2,1000,16.40,0.12
4,1000,16.40,0.24
8,1000,16.40,0.49
16,1000,16.38,0.98
32,1000,16.45,1.95
64,1000,16.52,3.87
128,1000,17.06,7.50
256,1000,17.19,14.89
512,1000,17.50,29.26
1024,1000,17.93,57.11
2048,1000,41.05,49.90
4096,1000,41.49,98.72
8192,1000,67.66,121.08
16384,1000,49.05,334.05
32768,1000,98.87,331.43
65536,640,102.95,636.57
131072,320,129.31,1013.65
262144,160,238.47,1099.27
524288,80,331.87,1579.80
1048576,40,518.63,2021.83
2097152,20,908.43,2308.54
4194304,10,1765.79,2375.31
8388608,5,3637.94,2305.87
16777216,2,7107.40,2360.53
33554432,1,14041.77,2389.62
67108864,1,27992.00,2397.43
134217728,1,55650.45,2411.80
268435456,1,111167.54,2414.69
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,14.16,0.00
1,1000,14.14,0.07
2,1000,14.17,0.14
4,1000,14.19,0.28
8,1000,14.19,0.56
16,1000,14.17,1.13
32,1000,14.20,2.25
64,1000,14.28,4.48
128,1000,14.67,8.72
256,1000,14.75,17.36
512,1000,14.90,34.36
1024,1000,15.39,66.53
2048,1000,38.69,52.94
4096,1000,38.49,106.41
8192,1000,61.61,132.96
16384,1000,49.01,334.28
32768,1000,98.01,334.32
65536,640,98.05,668.38
131072,320,115.41,1135.66
