#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,1.00,1.00
2,1000,1.01,1.98
4,1000,1.00,3.98
8,1000,1.00,8.00
16,1000,1.00,15.98
32,1000,1.01,31.58
64,1000,1.15,55.87
128,1000,1.20,106.81
256,1000,1.43,179.17
512,1000,1.50,341.74
1024,1000,1.66,618.73
2048,1000,2.32,882.82
4096,1000,3.19,1285.79
8192,1000,4.47,1834.30
16384,1000,6.25,2620.87
32768,1000,8.38,3909.34
65536,640,12.23,5359.32
131072,320,18.40,7124.28
262144,160,32.01,8189.68
524288,80,54.30,9656.01
1048576,40,96.98,10812.39
2097152,20,186.02,11273.57
4194304,10,352.27,11906.57
8388608,5,694.63,12076.41
16777216,2,1380.67,12151.49
33554432,1,2755.98,12175.14
67108864,1,5522.45,12152.00
134217728,1,11014.23,12185.84
268435456,1,22067.69,12164.18
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.01,1.98
4,1000,1.01,3.98
8,1000,1.00,8.04
16,1000,1.00,16.04
32,1000,1.01,31.67
64,1000,1.15,55.86
128,1000,1.19,107.39
256,1000,1.42,180.69
512,1000,1.49,343.47
1024,1000,1.66,618.32
2048,1000,2.32,882.58
4096,1000,3.19,1284.59
8192,1000,4.46,1835.83
16384,1000,6.26,2617.78
32768,1000,8.38,3909.48
65536,640,12.23,5359.65
131072,320,18.43,7113.47
262144,160,31.91,8214.08
524288,80,55.64,9422.85
1048576,40,97.94,10706.01
2097152,20,182.10,11516.29
4194304,10,352.84,11887.23
8388608,5,692.11,12120.34
16777216,2,1383.42,12127.35
33554432,1,2760.21,12156.46
67108864,1,5522.30,12152.35
134217728,1,11008.63,12192.05
268435456,1,22063.64,12166.42
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.00,0.00
1,1000,1.00,1.00
2,1000,1.00,1.99
4,1000,1.01,3.95
8,1000,1.00,8.02
16,1000,1.00,15.95
32,1000,1.02,31.53
64,1000,1.15,55.82
128,1000,1.20,106.92
256,1000,1.43,179.02
512,1000,1.50,340.96
1024,1000,1.65,619.01
2048,1000,2.32,881.57
4096,1000,3.19,1282.90
8192,1000,4.46,1837.72
16384,1000,6.25,2623.04
32768,1000,8.40,3902.83
65536,640,12.25,5350.33
131072,320,18.40,7124.09
262144,160,32.08,8170.32
524288,80,53.88,9730.50
1048576,40,96.88,10823.02
2097152,20,182.17,11512.30
4194304,10,352.79,11888.93
8388608,5,691.64,12128.65
16777216,2,1382.50,12135.38
33554432,1,2758.85,12162.46
67108864,1,5521.33,12154.48
134217728,1,11014.43,12185.63
268435456,1,22061.63,12167.53
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,0.99,1.01
2,1000,1.00,2.00
4,1000,1.01,3.97
8,1000,1.00,8.04
16,1000,1.00,15.99
32,1000,1.01,31.62
64,1000,1.15,55.77
128,1000,1.20,106.88
256,1000,1.42,180.17
512,1000,1.49,343.06
1024,1000,1.64,622.74
2048,1000,2.32,882.09
4096,1000,3.18,1286.61
8192,1000,4.47,1834.64
16384,1000,6.24,2624.27
32768,1000,8.40,3900.04
65536,640,12.23,5357.01
131072,320,18.40,7124.76
262144,160,31.95,8204.01
524288,80,54.29,9657.61
1048576,40,96.89,10821.98
2097152,20,186.01,11274.47
4194304,10,351.86,11920.37
8388608,5,692.18,12119.18
16777216,2,1381.43,12144.80
33554432,1,2762.26,12147.45
67108864,1,5519.05,12159.49
134217728,1,11019.80,12179.68
268435456,1,22059.36,12168.78
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.99,0.00
1,1000,1.00,1.00
2,1000,1.01,1.98
4,1000,1.01,3.97
8,1000,1.00,7.98
16,1000,1.00,15.96
32,1000,1.02,31.53
