#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.42,2.40
2,1000,0.42,4.80
4,1000,0.42,9.61
8,1000,0.42,19.24
16,1000,0.42,38.40
32,1000,0.57,56.17
64,1000,0.57,111.80
128,1000,0.86,148.03
256,1000,0.92,277.27
512,1000,1.15,443.57
1024,1000,1.30,788.55
2048,1000,2.11,970.85
4096,1000,3.00,1363.41
8192,1000,4.82,1698.67
16384,1000,7.47,2193.03
32768,1000,12.92,2536.77
65536,640,24.35,2691.51
131072,320,45.62,2872.87
262144,160,13.09,20023.86
524288,80,23.33,22470.56
1048576,40,52.02,20158.57
2097152,20,137.92,15205.72
4194304,10,295.05,14215.60
8388608,5,614.87,13642.84
16777216,2,1893.46,8860.61
33554432,1,5478.77,6124.45
67108864,1,11910.94,5634.22
134217728,1,23785.11,5642.93
268435456,1,47502.58,5650.97
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.41,2.45
2,1000,0.42,4.78
4,1000,0.42,9.46
8,1000,0.41,19.49
16,1000,0.41,39.21
32,1000,0.57,56.23
64,1000,0.58,110.86
128,1000,0.92,138.91
256,1000,0.96,266.75
512,1000,1.16,440.82
1024,1000,1.34,765.84
2048,1000,2.12,965.12
4096,1000,3.01,1362.84
8192,1000,4.84,1691.47
16384,1000,7.36,2226.68
32768,1000,12.92,2535.54
65536,640,24.50,2674.59
131072,320,45.39,2887.97
262144,160,13.14,19953.12
524288,80,23.02,22774.44
1048576,40,51.51,20356.04
2097152,20,138.47,15144.83
4194304,10,294.07,14262.80
8388608,5,618.74,13557.60
16777216,2,1931.60,8685.67
33554432,1,5532.04,6065.47
67108864,1,11890.22,5644.04
134217728,1,23785.85,5642.75
268435456,1,47507.52,5650.38
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.41,2.44
2,1000,0.41,4.88
4,1000,0.41,9.80
8,1000,0.42,18.89
16,1000,0.41,39.05
32,1000,0.55,57.76
64,1000,0.57,113.10
128,1000,0.91,140.28
256,1000,0.96,267.09
512,1000,1.15,446.88
1024,1000,1.30,786.04
2048,1000,2.11,968.49
4096,1000,3.00,1363.53
8192,1000,4.85,1689.98
16384,1000,7.49,2188.15
32768,1000,13.04,2513.46
65536,640,24.73,2650.20
131072,320,45.74,2865.29
262144,160,13.18,19887.66
524288,80,23.28,22521.22
1048576,40,51.93,20192.65
2097152,20,142.15,14752.95
4194304,10,294.60,14237.42
8388608,5,613.99,13662.36
16777216,2,1913.15,8769.41
33554432,1,5565.75,6028.74
67108864,1,11908.27,5635.48
134217728,1,23820.50,5634.55
268435456,1,47571.90,5642.73
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.41,2.45
2,1000,0.41,4.87
4,1000,0.41,9.78
8,1000,0.41,19.60
16,1000,0.41,39.22
32,1000,0.55,57.93
64,1000,0.58,110.23
128,1000,0.90,141.73
256,1000,0.99,259.59
512,1000,1.16,439.70
1024,1000,1.29,794.86
2048,1000,2.11,970.11
4096,1000,2.99,1369.47
8192,1000,4.82,1700.58
16384,1000,7.42,2209.22
32768,1000,13.01,2518.82
65536,640,24.51,2674.10
131072,320,44.67,2934.13
262144,160,13.19,19869.17
524288,80,22.99,22806.29
1048576,40,52.76,19872.85
2097152,20,139.32,15052.37
4194304,10,295.63,14187.50
8388608,5,609.07,13772.90
16777216,2,1911.39,8777.51
33554432,1,5497.38,6103.71
67108864,1,11843.53,5666.29
134217728,1,23760.64,5648.74
268435456,1,47513.59,5649.66
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.41,2.42
2,1000,0.41,4.86
4,1000,0.41,9.70
8,1000,0.41,19.56
16,1000,0.41,38.89
32,1000,0.56,57.62
64,1000,0.59,109.27
128,1000,0.89,144.33
256,1000,0.96,267.78
512,1000,1.13,453.63
1024,1000,1.28,796.97
2048,1000,2.11,968.94
4096,1000,3.00,1364.65
8192,1000,4.82,1699.89
16384,1000,7.46,2196.21
32768,1000,12.90,2540.26
65536,640,24.25,2703.06
131072,320,45.08,2907.59
262144,160,13.14,19952.13
524288,80,23.01,22783.44
1048576,40,52.63,19923.74
2097152,20,139.37,15047.88
4194304,10,297.08,14118.57
8388608,5,612.68,13691.75
16777216,2,1885.35,8898.72
33554432,1,5516.92,6082.10
67108864,1,11876.40,5650.61
134217728,1,23736.95,5654.38
268435456,1,47496.53,5651.69
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.41,2.46
2,1000,0.41,4.88
4,1000,0.41,9.84
8,1000,0.41,19.57
16,1000,0.41,39.17
32,1000,0.56,57.19
64,1000,0.57,113.15
128,1000,0.91,141.33
256,1000,0.99,258.19
512,1000,1.21,423.83
1024,1000,1.30,784.85
2048,1000,2.14,956.49
4096,1000,3.00,1365.76
8192,1000,4.80,1705.60
16384,1000,7.43,2205.10
32768,1000,12.90,2540.67
65536,640,24.41,2684.97
131072,320,45.32,2892.43
262144,160,13.24,19803.54
524288,80,22.88,22916.43
1048576,40,52.53,19961.84
2097152,20,138.13,15182.15
4194304,10,294.90,14222.74
8388608,5,614.67,13647.31
16777216,2,1919.98,8738.24
33554432,1,5531.89,6065.64
67108864,1,11868.69,5654.28
134217728,1,23786.24,5642.66
268435456,1,47512.66,5649.77
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.41,2.43
2,1000,0.41,4.88
4,1000,0.41,9.78
8,1000,0.41,19.66
16,1000,0.41,39.05
32,1000,0.57,56.55
64,1000,0.57,111.83
128,1000,0.92,139.57
256,1000,0.95,269.61
512,1000,1.15,445.74
1024,1000,1.29,794.38
2048,1000,2.10,975.44
4096,1000,2.99,1369.43
8192,1000,4.83,1697.22
16384,1000,7.51,2182.30
32768,1000,13.03,2515.14
65536,640,24.70,2653.65
131072,320,46.23,2835.23
262144,160,13.10,20007.95
524288,80,22.93,22867.00
1048576,40,50.64,20708.39
2097152,20,138.76,15113.72
4194304,10,295.38,14199.47
8388608,5,605.51,13853.69
16777216,2,1919.91,8738.52
33554432,1,5511.93,6087.60
67108864,1,11867.31,5654.93
134217728,1,23816.97,5635.38
268435456,1,47447.72,5657.50
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.41,2.42
2,1000,0.41,4.87
4,1000,0.41,9.68
8,1000,0.42,19.25
16,1000,0.42,37.73
32,1000,0.56,57.63
64,1000,0.57,112.06
128,1000,0.91,141.16
256,1000,0.98,260.70
512,1000,1.15,446.37
1024,1000,1.29,796.70
2048,1000,2.13,961.38
4096,1000,3.03,1353.86
8192,1000,4.82,1698.55
16384,1000,7.46,2196.80
32768,1000,12.93,2533.45
65536,640,24.35,2691.70
131072,320,45.16,2902.34
262144,160,13.17,19902.19
524288,80,23.01,22786.85
1048576,40,52.26,20064.82
2097152,20,140.89,14884.94
4194304,10,298.07,14071.39
8388608,5,617.32,13588.78
16777216,2,1929.79,8693.79
33554432,1,5604.75,5986.79
67108864,1,11966.09,5608.25
134217728,1,23945.85,5605.05
268435456,1,47722.98,5624.87
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.41,2.46
2,1000,0.40,4.98
4,1000,0.40,9.94
8,1000,0.40,19.81
16,1000,0.42,38.45
32,1000,0.56,57.03
64,1000,0.55,115.52
128,1000,0.94,135.81
256,1000,0.98,261.78
512,1000,1.16,443.08
1024,1000,1.31,780.68
2048,1000,2.13,962.74
4096,1000,3.00,1364.42
8192,1000,4.83,1694.54
16384,1000,7.46,2195.26
32768,1000,12.95,2529.63
65536,640,24.36,2690.54
131072,320,44.31,2957.98
262144,160,13.12,19974.98
524288,80,22.95,22846.54
1048576,40,51.92,20196.33
2097152,20,139.68,15013.97
4194304,10,299.64,13997.77
8388608,5,613.16,13681.04
16777216,2,1887.42,8888.97
33554432,1,5491.01,6110.80
67108864,1,11879.12,5649.31
134217728,1,23784.10,5643.17
