#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.44,2.29
2,1000,0.44,4.56
4,1000,0.44,9.18
8,1000,0.44,18.22
16,1000,0.44,36.47
32,1000,0.49,64.92
64,1000,0.49,129.60
128,1000,0.60,213.38
256,1000,0.63,405.31
512,1000,0.84,611.10
1024,1000,0.92,1110.45
2048,1000,1.09,1877.36
4096,1000,1.52,2698.57
8192,1000,1.97,4163.22
16384,1000,3.29,4974.83
32768,1000,5.16,6345.88
65536,640,9.55,6864.23
131072,320,18.11,7237.19
262144,160,34.96,7498.52
524288,80,84.96,6170.93
1048576,40,176.34,5946.21
2097152,20,360.74,5813.41
4194304,10,737.20,5689.50
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.44,2.30
2,1000,0.44,4.55
4,1000,0.44,9.13
8,1000,0.44,18.08
16,1000,0.44,36.40
32,1000,0.49,65.50
64,1000,0.49,130.72
128,1000,0.59,216.06
256,1000,0.63,405.47
512,1000,0.84,609.80
1024,1000,0.89,1154.61
2048,1000,1.07,1917.93
4096,1000,1.46,2813.98
8192,1000,1.95,4211.65
16384,1000,3.23,5078.39
32768,1000,5.15,6368.29
65536,640,9.48,6915.56
131072,320,18.12,7233.49
262144,160,34.95,7501.26
524288,80,84.59,6198.33
1048576,40,176.83,5929.78
2097152,20,358.36,5852.02
4194304,10,730.98,5737.94
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.44,2.29
2,1000,0.44,4.59
4,1000,0.44,9.16
8,1000,0.44,18.23
16,1000,0.44,36.54
32,1000,0.49,65.10
64,1000,0.49,130.14
128,1000,0.59,216.88
256,1000,0.63,407.60
512,1000,0.82,621.92
1024,1000,0.89,1145.01
2048,1000,1.06,1929.25
4096,1000,1.51,2721.08
8192,1000,2.00,4096.20
16384,1000,3.39,4834.00
32768,1000,5.14,6379.54
65536,640,9.28,7061.05
131072,320,18.15,7221.07
262144,160,35.39,7406.51
524288,80,85.03,6165.84
1048576,40,174.38,6013.23
2097152,20,355.19,5904.39
4194304,10,735.54,5702.34
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.44,2.28
2,1000,0.44,4.56
4,1000,0.44,9.14
8,1000,0.44,18.31
16,1000,0.44,36.16
32,1000,0.49,65.25
64,1000,0.49,129.78
128,1000,0.60,214.68
256,1000,0.63,403.21
512,1000,0.83,618.46
1024,1000,0.88,1158.26
2048,1000,1.05,1946.88
4096,1000,1.44,2843.44
8192,1000,2.00,4092.52
16384,1000,3.30,4958.80
32768,1000,5.08,6449.72
65536,640,9.45,6931.49
131072,320,18.14,7226.47
262144,160,35.05,7479.52
524288,80,84.58,6198.63
1048576,40,176.22,5950.53
2097152,20,355.82,5893.94
4194304,10,734.90,5707.34
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.44,2.28
2,1000,0.44,4.54
4,1000,0.44,9.13
8,1000,0.45,17.93
16,1000,0.44,36.24
32,1000,0.50,64.57
64,1000,0.50,128.27
128,1000,0.59,215.56
256,1000,0.62,413.39
512,1000,0.85,603.16
1024,1000,0.94,1093.49
2048,1000,1.10,1862.01
4096,1000,1.53,2675.80
8192,1000,2.02,4056.71
16384,1000,3.31,4946.96
32768,1000,5.19,6311.67
65536,640,9.31,7042.13
131072,320,18.21,7196.82
262144,160,35.19,7448.35
524288,80,84.89,6175.96
1048576,40,175.57,5972.58
2097152,20,359.38,5835.40
4194304,10,738.10,5682.61
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.43,2.30
2,1000,0.44,4.57
4,1000,0.44,9.11
8,1000,0.44,18.24
16,1000,0.44,36.37
32,1000,0.50,64.52
64,1000,0.50,127.34
128,1000,0.59,216.72
256,1000,0.67,383.59
512,1000,0.85,602.98
1024,1000,0.90,1141.04
2048,1000,1.08,1903.94
4096,1000,1.53,2672.17
8192,1000,1.97,4168.46
16384,1000,3.52,4650.06
32768,1000,5.33,6147.74
65536,640,9.32,7034.44
131072,320,18.20,7202.43
262144,160,34.99,7492.64
524288,80,85.40,6139.52
1048576,40,175.96,5959.32
2097152,20,357.63,5863.99
4194304,10,730.22,5743.91
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.30
2,1000,0.44,4.57
4,1000,0.44,9.18
8,1000,0.44,18.33
16,1000,0.44,36.52
32,1000,0.50,63.81
64,1000,0.49,129.34
128,1000,0.60,214.81
256,1000,0.63,408.54
512,1000,0.85,602.90
1024,1000,0.91,1119.36
2048,1000,1.09,1882.99
4096,1000,1.51,2713.01
8192,1000,1.97,4149.28
16384,1000,3.40,4815.22
32768,1000,5.20,6302.03
65536,640,9.62,6809.24
131072,320,18.19,7204.82
262144,160,35.32,7421.45
524288,80,84.57,6199.31
1048576,40,175.50,5974.72
2097152,20,359.67,5830.73
4194304,10,738.06,5682.89
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.44,2.28
2,1000,0.44,4.57
4,1000,0.45,8.98
8,1000,0.44,18.25
16,1000,0.44,36.45
32,1000,0.49,65.59
64,1000,0.49,131.16
128,1000,0.59,218.10
256,1000,0.62,410.63
512,1000,0.85,601.38
1024,1000,0.90,1134.59
2048,1000,1.08,1895.48
4096,1000,1.59,2583.57
8192,1000,2.01,4068.29
16384,1000,3.45,4751.90
32768,1000,5.18,6330.66
65536,640,9.43,6950.75
131072,320,18.21,7196.05
262144,160,35.01,7487.14
524288,80,84.95,6171.68
1048576,40,176.85,5929.19
2097152,20,354.30,5919.20
4194304,10,733.20,5720.52
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.44,2.30
2,1000,0.44,4.52
4,1000,0.44,9.14
8,1000,0.44,18.26
16,1000,0.44,36.59
32,1000,0.49,64.69
64,1000,0.49,129.69
128,1000,0.59,215.38
256,1000,0.64,400.71
512,1000,0.85,604.10
1024,1000,0.89,1150.28
2048,1000,1.07,1905.37
4096,1000,1.44,2851.00
8192,1000,2.03,4026.04
16384,1000,3.42,4796.57
32768,1000,5.11,6406.65
65536,640,9.53,6878.23
131072,320,18.10,7241.28
262144,160,35.13,7461.65
524288,80,85.10,6160.93
1048576,40,176.25,5949.25
2097152,20,355.32,5902.23
4194304,10,738.93,5676.17
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.44,2.30
2,1000,0.44,4.56
4,1000,0.44,9.16
8,1000,0.44,18.29
16,1000,0.44,36.65
32,1000,0.49,65.81
64,1000,0.50,129.28
128,1000,0.59,215.22
256,1000,0.63,408.79
512,1000,0.84,611.77
1024,1000,0.87,1173.79
2048,1000,1.03,1981.37
4096,1000,1.50,2733.67
8192,1000,2.03,4039.57
16384,1000,3.35,4893.81
32768,1000,5.17,6340.78
65536,640,9.23,7102.78
131072,320,18.16,7216.97
262144,160,34.85,7522.67
524288,80,84.60,6196.92
1048576,40,174.75,6000.36
2097152,20,355.58,5897.84
4194304,10,728.82,5754.94
8388608,5,1391.153,6030.0
16777216,2,3866.71,4339.067
33554432,1,7953.658,4218.796
67108864,1,15925.125,4214.036
134217728,1,31857.09,4213.135
268435456,1,63719.544,4212.769
