#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.61,0.00
1,1000,0.68,1.46
2,1000,0.68,2.94
4,1000,0.69,5.84
8,1000,0.68,11.79
16,1000,0.77,20.71
32,1000,0.75,42.68
64,1000,0.91,70.64
128,1000,1.01,126.62
256,1000,1.23,208.32
512,1000,1.29,397.53
1024,1000,1.52,672.13
2048,1000,2.01,1020.28
4096,1000,2.98,1374.72
8192,1000,3.64,2249.77
16384,1000,3.86,4239.50
32768,1000,4.83,6789.82
65536,640,6.00,10928.49
131072,320,9.73,13467.88
262144,160,15.97,16414.44
524288,80,32.44,16162.58
1048576,40,85.92,12204.08
2097152,20,206.80,10140.89
4194304,10,407.74,10286.72
8388608,5,891.84,9405.91
16777216,2,3232.64,5189.94
33554432,1,8483.31,3955.35
67108864,1,17049.81,3936.05
134217728,1,34037.44,3943.24
268435456,1,67990.85,3948.11
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.59,0.00
1,1000,0.69,1.44
2,1000,0.71,2.82
4,1000,0.68,5.90
8,1000,0.68,11.80
16,1000,0.77,20.81
32,1000,0.80,40.13
64,1000,0.84,75.75
128,1000,1.01,127.10
256,1000,1.18,217.57
512,1000,1.15,445.71
1024,1000,1.43,717.36
2048,1000,1.69,1209.40
4096,1000,2.93,1398.22
8192,1000,3.61,2266.84
16384,1000,3.69,4445.67
32768,1000,5.09,6440.85
65536,640,6.05,10827.86
131072,320,9.24,14180.40
262144,160,15.73,16668.52
524288,80,32.22,16273.22
1048576,40,88.05,11909.48
2097152,20,205.50,10205.31
4194304,10,407.27,10298.63
8388608,5,907.73,9241.31
16777216,2,3276.53,5120.43
33554432,1,8496.47,3949.22
67108864,1,17147.42,3913.64
134217728,1,34197.35,3924.80
268435456,1,68380.02,3925.64
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.59,0.00
1,1000,0.68,1.48
2,1000,0.69,2.88
4,1000,0.67,5.95
8,1000,0.67,11.92
16,1000,0.75,21.24
32,1000,0.73,44.04
64,1000,0.88,72.46
128,1000,1.00,128.63
256,1000,1.17,219.54
512,1000,1.18,435.04
1024,1000,1.62,631.35
2048,1000,1.91,1072.88
4096,1000,2.93,1399.84
8192,1000,3.56,2299.98
16384,1000,3.65,4486.21
32768,1000,4.87,6734.48
65536,640,5.83,11248.07
131072,320,9.48,13830.98
262144,160,15.76,16634.99
524288,80,32.25,16258.85
1048576,40,88.32,11872.45
2097152,20,207.26,10118.41
4194304,10,407.85,10283.95
8388608,5,885.07,9477.90
16777216,2,3247.79,5165.73
33554432,1,8461.29,3965.64
67108864,1,17084.03,3928.16
134217728,1,34065.57,3939.98
268435456,1,68087.32,3942.52
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.61,0.00
1,1000,0.67,1.49
2,1000,0.67,2.99
4,1000,0.68,5.92
8,1000,0.68,11.70
16,1000,0.76,21.07
32,1000,0.81,39.46
64,1000,0.87,73.37
128,1000,1.02,125.21
256,1000,1.25,204.27
512,1000,1.13,451.35
1024,1000,1.40,730.48
2048,1000,1.69,1208.40
4096,1000,2.91,1408.95
8192,1000,3.55,2309.12
16384,1000,3.66,4481.30
32768,1000,4.93,6651.52
65536,640,6.02,10882.48
131072,320,9.77,13415.39
262144,160,15.79,16603.94
524288,80,31.92,16426.45
1048576,40,86.55,12115.78
2097152,20,205.25,10217.39
4194304,10,408.23,10274.47
8388608,5,903.72,9282.27
16777216,2,3236.39,5183.93
33554432,1,8483.11,3955.44
67108864,1,17078.62,3929.41
134217728,1,34064.72,3940.08
268435456,1,68156.46,3938.52
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.61,0.00
1,1000,0.69,1.44
2,1000,0.70,2.86
4,1000,0.69,5.79
8,1000,0.69,11.60
16,1000,0.71,22.38
32,1000,0.81,39.63
64,1000,0.90,71.26
128,1000,0.99,128.86
256,1000,1.23,208.92
512,1000,1.18,435.56
1024,1000,1.45,706.41
2048,1000,1.73,1181.38
4096,1000,2.91,1406.92
8192,1000,3.50,2338.29
16384,1000,3.61,4535.56
32768,1000,4.82,6791.60
65536,640,5.91,11087.52
131072,320,9.44,13891.16
262144,160,15.73,16662.10
524288,80,32.97,15902.38
1048576,40,88.04,11909.95
2097152,20,209.99,9986.75
4194304,10,414.16,10127.29
8388608,5,913.31,9184.88
16777216,2,3369.53,4979.09
33554432,1,8522.70,3937.07
67108864,1,17170.46,3908.39
134217728,1,34206.34,3923.77
268435456,1,68388.82,3925.14
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.61,0.00
1,1000,0.66,1.51
2,1000,0.66,3.05
4,1000,0.66,6.05
8,1000,0.66,12.10
16,1000,0.74,21.67
32,1000,0.77,41.73
64,1000,0.86,74.09
128,1000,1.02,125.76
256,1000,1.21,210.85
512,1000,1.19,431.86
1024,1000,1.45,707.72
2048,1000,1.75,1170.16
4096,1000,2.94,1391.05
8192,1000,3.55,2308.63
16384,1000,3.68,4452.43
32768,1000,4.81,6810.42
65536,640,6.10,10735.03
131072,320,9.79,13385.71
262144,160,15.90,16489.13
524288,80,32.89,15938.42
1048576,40,86.25,12157.48
2097152,20,206.14,10173.64
4194304,10,407.55,10291.44
8388608,5,884.17,9487.58
16777216,2,3237.08,5182.82
33554432,1,8467.96,3962.52
67108864,1,17069.23,3931.57
134217728,1,34053.48,3941.38
268435456,1,68047.11,3944.85
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.59,0.00
1,1000,0.66,1.53
2,1000,0.66,3.04
4,1000,0.66,6.09
8,1000,0.66,12.04
16,1000,0.71,22.42
32,1000,0.77,41.62
64,1000,0.83,77.13
128,1000,0.95,134.35
256,1000,1.21,211.14
512,1000,1.18,433.64
1024,1000,1.51,679.20
2048,1000,2.00,1025.85
4096,1000,3.32,1233.98
8192,1000,3.56,2303.02
16384,1000,3.75,4369.53
32768,1000,4.73,6926.51
65536,640,6.09,10763.94
131072,320,8.81,14879.20
262144,160,15.50,16917.39
524288,80,32.45,16155.36
1048576,40,87.48,11986.84
2097152,20,204.57,10251.31
4194304,10,407.42,10294.80
8388608,5,872.22,9617.50
16777216,2,3239.29,5179.29
