#header_line 1: mpirun --map-by core --mca pml ob1 --mca btl self,tcp -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpc
#header_line 3: Latency=4.9322 Bandwidth=5341.1147
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,4.866,0.000,4.932,0.000
1.000,1000,4.945,0.200,4.932,0.203
2.000,1000,4.951,0.400,4.933,0.405
4.000,1000,4.950,0.800,4.933,0.811
8.000,1000,4.949,1.600,4.934,1.622
16.000,1000,4.954,3.200,4.935,3.242
32.000,1000,4.960,6.410,4.938,6.480
64.000,1000,4.970,12.830,4.944,12.945
128.000,1000,5.041,25.330,4.956,25.826
256.000,1000,5.081,50.350,4.980,51.404
512.000,1000,5.113,100.060,5.028,101.829
1024.000,1000,5.670,180.590,5.124,199.847
2048.000,1000,5.489,373.050,5.316,385.278
4096.000,1000,6.350,645.000,5.699,718.712
8192.000,1000,6.789,1206.680,6.466,1266.942
16384.000,1000,8.916,1837.180,8.000,2048.071
32768.000,1000,14.364,2281.100,11.067,2960.808
65536.000,640,28.146,2328.290,17.202,3809.724
131072.000,320,40.320,3250.980,29.472,4447.280
262144.000,160,56.576,4633.480,54.013,4853.387
524288.000,80,88.160,5947.010,103.093,5085.584
1048576.000,40,148.596,7056.500,201.254,5210.218
2097152.000,20,285.345,7349.570,397.575,5274.854
4194304.000,10,590.685,7100.810,790.218,5307.778
8388608.000,5,1461.821,5738.500,1575.505,5324.394
16777216.000,2,3164.250,5302.090,3146.077,5332.741
33554432.000,1,6352.867,5281.770,6287.222,5336.925
67108864.000,1,12679.680,5292.610,12569.512,5339.019
134217728.000,1,25276.918,5309.850,25134.093,5340.067
268435456.000,1,50162.728,5351.250,50263.253,5340.591
