#header_line 1: mpirun --map-by core --mca pml ob1 --mca btl self,vader -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpc
#header_line 3: Latency=0.2880 Bandwidth=4497.8812
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,0.261,0.000,0.288,0.000
1.000,1000,0.295,3.350,0.288,3.470
2.000,1000,0.295,6.770,0.288,6.934
4.000,1000,0.295,13.550,0.289,13.846
8.000,1000,0.294,27.170,0.290,27.607
16.000,1000,0.301,52.950,0.292,54.878
32.000,1000,0.299,106.800,0.295,108.433
64.000,1000,0.328,195.560,0.302,211.760
128.000,1000,0.379,337.290,0.316,404.477
256.000,1000,0.446,572.250,0.345,742.210
512.000,1000,0.665,770.020,0.402,1274.166
1024.000,1000,0.746,1377.750,0.516,1985.794
2048.000,1000,0.891,2299.710,0.743,2755.186
4096.000,1000,1.817,2255.630,1.199,3417.175
8192.000,1000,2.090,3919.410,2.109,3883.749
16384.000,1000,2.515,6516.270,3.931,4168.316
32768.000,1000,3.482,9434.640,7.573,4326.832
65536.000,640,4.885,13438.300,14.858,4410.699
131072.000,320,8.148,16102.970,29.429,4453.863
262144.000,160,14.683,17855.680,58.570,4475.764
524288.000,80,31.188,16811.450,116.851,4486.795
1048576.000,40,83.583,12545.500,233.415,4492.331
2097152.000,20,199.770,10499.750,466.541,4495.105
4194304.000,10,432.377,9700.980,932.795,4496.492
8388608.000,5,1498.306,5599.130,1865.301,4497.187
16777216.000,2,3721.759,4507.910,3730.315,4497.534
33554432.000,1,7502.595,4472.370,7460.341,4497.708
67108864.000,1,14967.524,4483.610,14920.394,4497.794
134217728.000,1,29868.405,4493.590,29840.500,4497.838
268435456.000,1,59672.411,4498.450,59680.712,4497.859
