#header_line 1: mpirun -f $PBS_NODEFILE ${EXE} PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g' 
#header_line 2: ct1pt-tnode007.hpcct1pt-tnode010.hpc
#header_line 3: Latency=1.1018 Bandwidth=12221.8776
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,1.101,0.000,1.102,0.000
1.000,1000,1.101,0.870,1.102,0.908
2.000,1000,1.106,1.750,1.102,1.815
4.000,1000,1.103,3.590,1.102,3.629
8.000,1000,1.098,7.260,1.102,7.257
16.000,1000,1.102,14.500,1.103,14.504
32.000,1000,1.118,28.580,1.104,28.975
64.000,1000,1.280,50.270,1.107,57.812
128.000,1000,1.336,96.230,1.112,115.080
256.000,1000,1.681,156.640,1.123,228.012
512.000,1000,1.659,310.010,1.144,447.673
1024.000,1000,1.819,565.250,1.186,863.709
2048.000,1000,2.476,830.630,1.269,1613.401
4096.000,1000,3.234,1271.960,1.437,2850.508
8192.000,1000,4.180,1965.360,1.772,4622.833
16384.000,1000,5.898,2782.550,2.442,6708.302
32768.000,1000,9.539,3437.290,3.783,8662.152
65536.000,640,12.511,5239.480,6.464,10138.633
131072.000,320,21.762,6023.870,11.826,11083.212
262144.000,160,32.468,8074.370,22.551,11624.727
524288.000,80,55.482,9457.870,43.999,11915.826
1048576.000,40,97.198,10788.540,86.897,12066.911
2097152.000,20,182.471,11493.490,172.692,12143.900
4194304.000,10,352.875,11886.240,344.282,12182.764
8388608.000,5,694.649,12076.150,687.462,12202.290
16777216.000,2,1378.419,12171.390,1373.822,12212.076
33554432.000,1,2754.665,12180.970,2746.542,12216.975
67108864.000,1,5495.983,12210.540,5491.982,12219.426
134217728.000,1,10991.400,12211.150,10982.862,12220.652
268435456.000,1,21957.535,12225.130,21964.622,12221.265
