#header_line 1: mpirun --map-by node --mca pml ob1 --mca btl self,tcp -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpcct1pt-tnode010.hpc
#header_line 3: Latency=15.5980 Bandwidth=2651.6725
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,15.479,0.000,15.598,0.000
1.000,1000,15.621,0.000,15.598,0.064
2.000,1000,15.621,0.100,15.599,0.128
4.000,1000,15.633,0.200,15.600,0.256
8.000,1000,15.636,0.490,15.601,0.513
16.000,1000,15.684,0.990,15.604,1.025
32.000,1000,15.710,1.990,15.610,2.050
64.000,1000,15.732,4.020,15.622,4.097
128.000,1000,15.906,8.000,15.646,8.181
256.000,1000,16.120,15.860,15.695,16.311
512.000,1000,16.599,30.820,15.791,32.423
1024.000,1000,16.946,60.430,15.984,64.063
2048.000,1000,38.653,52.940,16.370,125.104
4096.000,1000,39.061,104.830,17.143,238.936
8192.000,1000,40.101,204.280,18.687,438.371
16384.000,1000,42.037,389.810,21.777,752.362
32768.000,1000,47.801,686.100,27.955,1172.149
65536.000,640,60.516,1083.750,40.313,1625.680
131072.000,320,113.048,1163.240,65.028,2015.626
262144.000,160,156.815,1678.540,114.458,2290.310
524288.000,80,239.788,2200.180,213.318,2457.780
1048576.000,40,380.909,2784.540,411.037,2551.047
2097152.000,20,701.384,3025.100,806.477,2600.387
4194304.000,10,1472.750,2880.290,1597.356,2625.779
8388608.000,5,3209.526,2648.640,3179.114,2638.662
16777216.000,2,6547.731,2592.340,6342.630,2645.151
33554432.000,1,13077.162,2595.420,12669.661,2648.408
67108864.000,1,25797.143,2632.000,25323.725,2650.039
134217728.000,1,51187.354,2653.680,50631.852,2650.856
268435456.000,1,100790.053,2698.670,101248.106,2651.264
