#header_line 1: mpirun --map-by node --mca pml ucx -mca btl ^uct -x UCX_NET_DEVICES=br0 -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpcct1pt-tnode010.hpc
#header_line 3: Latency=15.8256 Bandwidth=2484.7609
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,15.809,0.000,15.826,0.000
1.000,1000,15.820,0.000,15.826,0.063
2.000,1000,15.832,0.100,15.826,0.126
4.000,1000,15.827,0.200,15.827,0.253
8.000,1000,15.840,0.450,15.829,0.505
16.000,1000,15.834,0.980,15.832,1.011
32.000,1000,15.852,1.990,15.838,2.020
64.000,1000,15.933,3.990,15.851,4.038
128.000,1000,16.435,7.800,15.877,8.062
256.000,1000,16.583,15.500,15.929,16.072
512.000,1000,16.769,30.730,16.032,31.937
1024.000,1000,17.219,59.820,16.238,63.063
2048.000,1000,39.940,51.310,16.650,123.004
4096.000,1000,40.562,101.100,17.474,234.405
8192.000,1000,67.105,122.420,19.122,428.396
16384.000,1000,49.587,330.530,22.419,730.796
32768.000,1000,99.228,330.300,29.013,1129.417
65536.000,640,102.561,640.040,42.201,1552.957
131072.000,320,130.395,1012.060,68.576,1911.341
262144.000,160,231.541,1137.380,121.326,2160.653
524288.000,80,322.146,1635.890,226.827,2311.400
1048576.000,36,508.463,2068.360,437.828,2394.948
2097152.000,18,890.808,2360.510,859.831,2439.028
4194304.000,9,1708.666,2473.760,1703.837,2461.682
8388608.000,5,3454.315,2466.370,3391.848,2473.168
16777216.000,2,6753.989,2522.960,6767.870,2478.951
33554432.000,1,13416.117,2542.040,13519.915,2481.852
67108864.000,1,26988.421,2523.270,27024.004,2483.306
134217728.000,1,54060.163,2516.900,54032.182,2484.033
268435456.000,1,108054.389,2517.460,108048.538,2484.397
