#header_line 1: mpirun --map-by node --mca pml ucx -mca btl ^uct -x UCX_NET_DEVICES=ib0 -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpcct1pt-tnode010.hpc
#header_line 3: Latency=9.6446 Bandwidth=2879.8790
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,10.452,0.000,9.645,0.000
1.000,1000,9.474,0.090,9.645,0.104
2.000,1000,9.415,0.190,9.645,0.207
4.000,1000,9.422,0.400,9.646,0.415
8.000,1000,9.460,0.810,9.647,0.829
16.000,1000,9.339,1.690,9.650,1.658
32.000,1000,9.295,3.410,9.656,3.314
64.000,1000,9.375,6.830,9.667,6.621
128.000,1000,9.465,13.560,9.689,13.211
256.000,1000,9.535,26.950,9.733,26.301
512.000,1000,9.873,52.060,9.822,52.126
1024.000,1000,10.143,101.380,10.000,102.398
2048.000,1000,19.382,107.470,10.356,197.765
4096.000,1000,19.891,209.970,11.067,370.113
8192.000,1000,28.166,292.800,12.489,655.929
16384.000,1000,36.132,459.300,15.334,1068.494
32768.000,1000,50.940,647.440,21.023,1558.685
65536.000,640,84.698,802.080,32.401,2022.647
131072.000,320,128.203,1038.870,55.158,2376.317
262144.000,160,192.297,1380.040,100.671,2603.976
524288.000,80,257.238,2067.120,191.697,2734.987
1048576.000,40,402.235,2625.550,373.749,2805.564
2097152.000,20,736.178,2880.890,737.853,2842.236
4194304.000,10,1435.168,2958.490,1466.061,2860.933
8388608.000,5,2942.261,2865.520,2922.478,2870.375
16777216.000,2,5856.897,2879.760,5835.312,2875.119
33554432.000,1,12024.326,2805.050,11660.979,2877.497
67108864.000,1,23801.974,2833.130,23312.313,2878.688
134217728.000,1,47001.052,2867.830,46614.981,2879.283
268435456.000,1,92857.594,2902.130,93220.317,2879.581
