#header_line 1: mpirun --map-by socket -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpc
#header_line 3: Latency=0.4120 Bandwidth=5660.7413
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,0.415,0.000,0.412,0.000
1.000,1000,0.411,2.400,0.412,2.426
2.000,1000,0.411,4.800,0.412,4.850
4.000,1000,0.411,9.690,0.413,9.692
8.000,1000,0.412,19.400,0.413,19.351
16.000,1000,0.413,38.790,0.415,38.570
32.000,1000,0.562,57.030,0.418,76.619
64.000,1000,0.572,111.930,0.423,151.191
128.000,1000,0.908,141.040,0.435,294.516
256.000,1000,0.964,265.830,0.457,559.901
512.000,1000,1.158,442.550,0.502,1019.012
1024.000,1000,1.300,787.700,0.593,1727.119
2048.000,1000,2.116,967.630,0.774,2646.713
4096.000,1000,3.001,1364.530,1.136,3606.967
8192.000,1000,4.826,1697.320,1.859,4406.290
16384.000,1000,7.455,2198.040,3.306,4955.357
32768.000,1000,12.962,2527.950,6.201,5284.615
65536.000,640,24.488,2676.520,11.989,5466.215
131072.000,320,45.338,2891.310,23.567,5561.778
262144.000,160,13.157,19922.760,46.721,5610.823
524288.000,80,23.038,22758.670,93.030,5635.672
1048576.000,40,52.093,20132.070,185.649,5648.179
2097152.000,20,139.656,15018.060,370.885,5654.453
4194304.000,10,296.151,14163.090,741.358,5657.595
8388608.000,5,613.615,13671.260,1482.304,5659.168
16777216.000,2,1909.872,8785.030,2964.196,5659.955
33554432.000,1,5522.895,6075.740,5927.980,5660.348
67108864.000,1,11888.301,5644.940,11855.549,5660.545
134217728.000,1,23799.141,5639.580,23710.686,5660.643
268435456.000,1,47521.661,5648.660,47420.960,5660.692
