#header_line 1: mpirun --map-by socket --mca pml ob1 --mca btl self,tcp -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpc
#header_line 3: Latency=7.8758 Bandwidth=3292.2317
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,7.829,0.000,7.876,0.000
1.000,1000,7.884,0.100,7.876,0.127
2.000,1000,7.884,0.200,7.876,0.254
4.000,1000,7.893,0.500,7.877,0.508
8.000,1000,7.889,0.990,7.878,1.015
16.000,1000,7.890,1.980,7.881,2.030
32.000,1000,7.899,4.000,7.886,4.058
64.000,1000,7.921,8.050,7.895,8.106
128.000,1000,8.263,15.460,7.915,16.172
256.000,1000,8.311,30.770,7.954,32.187
512.000,1000,8.337,61.390,8.031,63.750
1024.000,1000,9.290,110.190,8.187,125.079
2048.000,1000,8.884,230.530,8.498,241.002
4096.000,1000,10.521,389.350,9.120,449.126
8192.000,1000,11.564,708.540,10.364,790.422
16384.000,1000,15.702,1043.430,12.852,1274.785
32768.000,1000,26.395,1241.490,17.829,1837.912
65536.000,640,58.157,1126.950,27.782,2358.933
131072.000,320,83.001,1579.250,47.688,2748.514
262144.000,160,124.470,2106.060,87.501,2995.904
524288.000,80,194.967,2689.090,167.126,3137.085
1048576.000,40,333.587,3143.300,326.376,3212.787
2097152.000,20,633.111,3312.410,644.876,3252.024
4194304.000,10,1240.509,3381.100,1281.876,3272.004
8388608.000,5,2459.272,3410.980,2555.876,3282.087
16777216.000,2,5060.968,3314.990,5103.877,3287.151
33554432.000,1,10334.816,3246.730,10199.878,3289.690
67108864.000,1,20252.727,3313.630,20391.880,3290.960
134217728.000,1,40655.345,3301.680,40775.883,3291.596
268435456.000,1,81628.375,3288.690,81543.891,3291.914
