#header_line 1: mpirun --map-by socket --mca pml ob1 --mca btl self,vader -np 2 PingPong -msglog 28 | grep -v ^\# | grep -v '^$' | sed -r 's/^\s+//;s/\s+/,/g'
#header_line 2: ct1pt-tnode007.hpc
#header_line 3: Latency=0.6610 Bandwidth=3945.6401
#header_line :#bytes, #repetitions,t[usec],Mbytes/sec,t[usec](computed),Mbytes/sec(computed)
0.000,1000,0.600,0.000,0.661,0.000
1.000,1000,0.675,1.430,0.661,1.512
2.000,1000,0.680,2.890,0.662,3.023
4.000,1000,0.677,5.870,0.662,6.042
8.000,1000,0.673,11.850,0.663,12.066
16.000,1000,0.747,21.360,0.665,24.058
32.000,1000,0.778,41.220,0.669,47.825
64.000,1000,0.874,73.160,0.677,94.504
128.000,1000,0.997,128.460,0.693,184.587
256.000,1000,1.210,211.660,0.726,352.675
512.000,1000,1.182,433.840,0.791,647.476
1024.000,1000,1.471,697.170,0.921,1112.406
2048.000,1000,1.794,1145.970,1.180,1735.514
4096.000,1000,2.977,1377.990,1.699,2410.677
8192.000,1000,3.558,2302.610,2.737,2992.822
16384.000,1000,3.687,4445.650,4.813,3403.809
32768.000,1000,4.885,6711.370,8.966,3654.751
65536.000,640,6.026,10880.070,17.271,3794.629
131072.000,320,9.470,13857.330,33.880,3868.662
262144.000,160,15.797,16597.780,67.100,3906.772
524288.000,80,32.431,16167.420,133.539,3926.110
1048576.000,40,87.229,12021.990,266.417,3935.851
2097152.000,20,206.580,10152.170,532.172,3940.739
4194304.000,10,408.537,10266.850,1063.683,3943.188
8388608.000,5,889.832,9429.480,2126.706,3944.414
16777216.000,2,3254.420,5155.940,4252.751,3945.027
33554432.000,1,8476.988,3958.280,8504.841,3945.333
67108864.000,1,17077.184,3929.720,17009.020,3945.487
134217728.000,1,34077.304,3938.600,34017.380,3945.563
268435456.000,1,68105.368,3941.460,68034.098,3945.602
